 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2010
"Município";"Sem instrução/1º ciclo fundamental incompleto";"1º ciclo fundamental completo/2º ciclo incompleto";"2º ciclo fundamental completo ou mais";"Não determinada";"Total"
"311760 CONCEICAO DO PARA";35,18;13,54;41,42;9,86;100,00
"311770 CONCEICAO DO RIO VERDE";35,31;14,25;38,44;11,99;100,00
"311780 CONCEICAO DOS OUROS";30,79;14,18;43,01;12,02;100,00
"311783 CONEGO MARINHO";39,17;12,14;37,09;11,59;100,00
"311787 CONFINS";19,39;12,61;57,60;10,40;100,00
"311790 CONGONHAL";28,92;15,86;42,66;12,55;100,00
"311800 CONGONHAS";19,68;14,27;56,35;9,69;100,00
"311810 CONGONHAS DO NORTE";49,71;11,23;29,18;9,88;100,00
"311820 CONQUISTA";25,61;13,04;47,31;14,04;100,00
"311830 CONSELHEIRO LAFAIETE";16,63;15,05;59,42;8,91;100,00
"311840 CONSELHEIRO PENA";36,47;15,83;37,07;10,63;100,00
"311850 CONSOLACAO";41,46;11,48;35,27;11,78;100,00
"311860 CONTAGEM";17,80;11,99;61,21;9,00;100,00
"311870 COQUEIRAL";32,08;19,48;39,68;8,75;100,00
"311880 CORACAO DE JESUS";36,91;13,05;38,88;11,16;100,00
"311890 CORDISBURGO";36,15;13,92;38,33;11,60;100,00
"311900 CORDISLANDIA";33,36;17,81;36,69;12,14;100,00
"311910 CORINTO";32,57;16,86;43,13;7,44;100,00
"311920 COROACI";39,76;16,70;32,67;10,87;100,00
"311930 COROMANDEL";33,41;15,45;41,49;9,65;100,00
"311940 CORONEL FABRICIANO";18,49;14,90;58,08;8,53;100,00
"311950 CORONEL MURTA";38,36;14,03;35,80;11,81;100,00
"311960 CORONEL PACHECO";28,07;18,42;39,56;13,95;100,00
"311970 CORONEL XAVIER CHAVES";29,90;18,04;37,34;14,72;100,00
"311980 CORREGO DANTA";27,69;22,51;40,18;9,61;100,00
"311990 CORREGO DO BOM JESUS";39,83;13,65;39,41;7,12;100,00
"311995 CORREGO FUNDO";34,01;18,91;39,47;7,61;100,00
"312000 CORREGO NOVO";42,24;14,09;30,54;13,13;100,00
"312010 COUTO DE MAGALHAES DE MINAS";26,16;15,41;40,46;17,96;100,00
"312015 CRISOLITA";52,24;12,76;26,79;8,21;100,00
"312020 CRISTAIS";38,87;14,55;36,68;9,90;100,00
"312030 CRISTALIA";36,28;17,86;35,88;9,98;100,00
"312040 CRISTIANO OTONI";25,99;18,60;42,83;12,59;100,00
"312050 CRISTINA";35,59;16,44;35,22;12,75;100,00
"312060 CRUCILANDIA";34,18;21,07;30,01;14,74;100,00
"312070 CRUZEIRO DA FORTALEZA";31,53;14,55;38,52;15,40;100,00
"312080 CRUZILIA";26,92;19,15;41,16;12,77;100,00
"312083 CUPARAQUE";40,54;13,49;32,67;13,29;100,00
"312087 CURRAL DE DENTRO";47,83;12,98;28,92;10,27;100,00
"312090 CURVELO";25,08;16,00;48,13;10,79;100,00
"312100 DATAS";36,62;15,53;34,15;13,69;100,00
"312110 DELFIM MOREIRA";31,62;18,16;38,57;11,65;100,00
"312120 DELFINOPOLIS";25,88;10,07;50,62;13,44;100,00
"312125 DELTA";30,00;20,62;33,22;16,16;100,00
"312130 DESCOBERTO";30,20;19,44;38,12;12,24;100,00
"312140 DESTERRO DE ENTRE RIOS";45,97;16,57;30,63;6,84;100,00
"312150 DESTERRO DO MELO";47,45;11,51;26,79;14,24;100,00
"312160 DIAMANTINA";24,12;15,03;51,37;9,48;100,00
"312170 DIOGO DE VASCONCELOS";56,55;12,66;25,04;5,74;100,00
"312180 DIONISIO";29,62;17,67;42,31;10,39;100,00
"312190 DIVINESIA";27,76;24,31;35,98;11,95;100,00
"312200 DIVINO";46,20;13,20;29,01;11,59;100,00
"312210 DIVINO DAS LARANJEIRAS";37,19;16,71;37,30;8,80;100,00
"312220 DIVINOLANDIA DE MINAS";28,75;21,36;33,81;16,08;100,00
"312230 DIVINOPOLIS";17,65;14,84;58,22;9,28;100,00
"312235 DIVISA ALEGRE";34,27;17,90;34,35;13,48;100,00
"312240 DIVISA NOVA";36,13;17,72;36,15;10,00;100,00
"312245 DIVISOPOLIS";42,47;15,94;31,28;10,32;100,00
"312247 DOM BOSCO";34,33;10,69;38,46;16,52;100,00
"312250 DOM CAVATI";32,23;17,76;41,19;8,82;100,00
"312260 DOM JOAQUIM";38,93;13,76;30,06;17,24;100,00
"312270 DOM SILVERIO";30,27;12,28;41,00;16,45;100,00
"312280 DOM VICOSO";32,59;22,22;38,87;6,32;100,00
"312290 DONA EUSEBIA";21,70;21,78;41,75;14,77;100,00
"312300 DORES DE CAMPOS";31,20;19,16;40,44;9,20;100,00
"312310 DORES DE GUANHAES";43,82;12,49;30,26;13,43;100,00
"312320 DORES DO INDAIA";26,66;18,18;45,86;9,31;100,00
"312330 DORES DO TURVO";42,82;14,06;29,34;13,78;100,00
"312340 DORESOPOLIS";26,53;15,71;44,01;13,75;100,00
"312350 DOURADOQUARA";29,76;15,31;40,95;13,98;100,00
"312352 DURANDE";38,78;10,96;32,68;17,58;100,00
"312360 ELOI MENDES";31,79;14,60;41,83;11,79;100,00
"312370 ENGENHEIRO CALDAS";38,44;17,69;33,70;10,17;100,00
"312380 ENGENHEIRO NAVARRO";33,75;12,33;41,92;12,00;100,00
"312385 ENTRE FOLHAS";34,42;14,13;32,70;18,75;100,00
"312390 ENTRE RIOS DE MINAS";34,35;17,10;39,48;9,07;100,00
"312400 ERVALIA";46,64;14,60;29,92;8,84;100,00
"312410 ESMERALDAS";30,72;15,73;40,56;12,98;100,00
"312420 ESPERA FELIZ";36,22;14,02;35,68;14,08;100,00
"312430 ESPINOSA";39,07;13,28;37,16;10,49;100,00
"312440 ESPIRITO SANTO DO DOURADO";36,20;15,36;34,07;14,38;100,00
"312450 ESTIVA";37,00;15,86;35,65;11,49;100,00
"312460 ESTRELA DALVA";29,73;16,31;38,06;15,90;100,00
"312470 ESTRELA DO INDAIA";36,51;17,57;32,58;13,35;100,00
"312480 ESTRELA DO SUL";29,83;18,39;41,89;9,89;100,00
"312490 EUGENOPOLIS";33,22;15,19;39,05;12,54;100,00
"312500 EWBANK DA CAMARA";34,94;12,15;41,25;11,66;100,00
"312510 EXTREMA";24,34;14,83;50,36;10,48;100,00
"312520 FAMA";29,77;18,87;42,80;8,56;100,00
"312530 FARIA LEMOS";32,56;14,84;44,64;7,96;100,00
"312540 FELICIO DOS SANTOS";41,22;16,97;29,96;11,85;100,00
"312550 SAO GONCALO DO RIO PRETO";33,36;16,04;37,98;12,62;100,00
"312560 FELISBURGO";46,45;13,37;29,14;11,04;100,00
"312570 FELIXLANDIA";32,11;21,84;35,33;10,71;100,00
"312580 FERNANDES TOURINHO";36,91;15,33;36,30;11,46;100,00
"312590 FERROS";51,14;14,09;24,04;10,73;100,00
"312595 FERVEDOURO";47,10;17,24;24,29;11,36;100,00
"312600 FLORESTAL";20,80;17,10;48,91;13,19;100,00
"312610 FORMIGA";25,45;13,82;51,58;9,15;100,00
"312620 FORMOSO";36,46;15,01;38,44;10,09;100,00
"312630 FORTALEZA DE MINAS";31,97;14,61;40,97;12,44;100,00
"312640 FORTUNA DE MINAS";26,30;19,37;44,89;9,44;100,00
"312650 FRANCISCO BADARO";45,86;11,43;31,93;10,77;100,00
"312660 FRANCISCO DUMONT";40,59;15,50;34,81;9,10;100,00
"312670 FRANCISCO SA";37,63;12,25;38,19;11,93;100,00
"312675 FRANCISCOPOLIS";49,05;10,90;29,14;10,90;100,00
"312680 FREI GASPAR";47,19;13,12;28,62;11,07;100,00
"312690 FREI INOCENCIO";29,73;16,68;41,26;12,33;100,00
"312695 FREI LAGONEGRO";46,56;16,45;21,57;15,41;100,00
"312700 FRONTEIRA";27,18;18,79;41,45;12,57;100,00
"312705 FRONTEIRA DOS VALES";47,58;10,34;29,86;12,22;100,00
"312707 FRUTA DE LEITE";56,20;13,39;22,30;8,11;100,00
"312710 FRUTAL";23,92;17,19;48,57;10,32;100,00
"312720 FUNILANDIA";33,62;16,79;36,63;12,95;100,00
"312730 GALILEIA";38,46;16,19;34,36;10,98;100,00
"312733 GAMELEIRAS";38,76;7,76;40,26;13,21;100,00
"312735 GLAUCILANDIA";26,50;16,95;44,04;12,51;100,00
"312737 GOIABEIRA";41,27;14,03;34,47;10,24;100,00
"312738 GOIANA";25,25;15,97;48,04;10,74;100,00
"312740 GONCALVES";39,93;13,66;35,68;10,74;100,00
"312750 GONZAGA";39,56;17,23;31,26;11,95;100,00
"312760 GOUVEIA";33,13;11,98;43,07;11,82;100,00
"312770 GOVERNADOR VALADARES";20,82;15,51;54,17;9,51;100,00
"312780 GRAO MOGOL";41,24;16,77;31,61;10,38;100,00
"312790 GRUPIARA";30,84;15,51;47,35;6,30;100,00
"312800 GUANHAES";33,79;14,97;40,68;10,55;100,00
"312810 GUAPE";37,16;16,57;37,95;8,32;100,00
"312820 GUARACIABA";46,00;14,32;28,77;10,91;100,00
"312825 GUARACIAMA";30,81;13,73;46,78;8,68;100,00
"312830 GUARANESIA";32,49;16,01;42,72;8,78;100,00
"312840 GUARANI";34,71;17,24;37,65;10,39;100,00
"312850 GUARARA";31,74;21,29;36,45;10,52;100,00
"312860 GUARDA-MOR";29,08;17,51;40,00;13,41;100,00
"312870 GUAXUPE";23,00;15,51;52,41;9,08;100,00
"312880 GUIDOVAL";33,37;17,53;36,78;12,31;100,00
"312890 GUIMARANIA";28,37;19,17;42,63;9,83;100,00
"312900 GUIRICEMA";39,25;12,49;35,19;13,06;100,00
"312910 GURINHATA";39,28;14,24;34,70;11,78;100,00
"312920 HELIODORA";36,96;17,68;34,56;10,81;100,00
"312930 IAPU";40,71;14,33;32,44;12,53;100,00
"312940 IBERTIOGA";45,82;15,47;32,97;5,73;100,00
"312950 IBIA";30,08;17,82;40,78;11,33;100,00
"312960 IBIAI";41,08;15,21;33,01;10,69;100,00
"312965 IBIRACATU";47,51;13,32;28,36;10,82;100,00
"312970 IBIRACI";26,46;15,20;45,38;12,96;100,00
"312980 IBIRITE";24,16;15,34;48,31;12,18;100,00
"312990 IBITIURA DE MINAS";30,94;14,74;38,27;16,05;100,00
"313000 IBITURUNA";33,96;15,09;40,92;10,04;100,00
"313005 ICARAI DE MINAS";32,47;16,32;39,00;12,21;100,00
"313010 IGARAPE";28,14;17,15;45,43;9,28;100,00
"313020 IGARATINGA";33,62;21,00;29,51;15,87;100,00
"313030 IGUATAMA";25,04;15,43;47,13;12,40;100,00
"313040 IJACI";25,49;17,05;47,42;10,04;100,00
"313050 ILICINEA";34,34;18,01;39,70;7,95;100,00
"313055 IMBE DE MINAS";45,36;14,63;21,25;18,76;100,00
"313060 INCONFIDENTES";33,15;13,68;39,33;13,84;100,00
"313065 INDAIABIRA";51,69;11,56;27,63;9,12;100,00
"313070 INDIANOPOLIS";34,25;16,02;38,11;11,62;100,00
"313080 INGAI";28,69;11,36;38,72;21,23;100,00
"313090 INHAPIM";38,85;16,27;33,13;11,76;100,00
"313100 INHAUMA";27,64;11,09;48,48;12,80;100,00
"313110 INIMUTABA";28,24;20,58;38,55;12,64;100,00
"313115 IPABA";26,92;18,46;40,71;13,91;100,00
"313120 IPANEMA";33,01;14,82;40,07;12,11;100,00
"313130 IPATINGA";16,03;13,76;61,79;8,42;100,00
"313140 IPIACU";32,13;19,59;41,54;6,74;100,00
"313150 IPUIUNA";34,48;20,61;32,26;12,66;100,00
"313160 IRAI DE MINAS";37,91;12,91;39,90;9,27;100,00
"313170 ITABIRA";19,18;14,19;57,24;9,39;100,00
"313180 ITABIRINHA";38,17;10,67;36,56;14,60;100,00
"313190 ITABIRITO";18,64;16,82;54,50;10,04;100,00
"313200 ITACAMBIRA";33,97;12,36;41,15;12,52;100,00
"313210 ITACARAMBI";32,45;14,46;41,47;11,61;100,00
"313220 ITAGUARA";33,09;19,63;38,69;8,60;100,00
"313230 ITAIPE";41,82;19,58;27,55;11,06;100,00
"313240 ITAJUBA";15,73;13,97;63,52;6,78;100,00
"313250 ITAMARANDIBA";36,00;13,51;40,57;9,93;100,00
"313260 ITAMARATI DE MINAS";26,27;16,41;40,27;17,06;100,00
"313270 ITAMBACURI";39,42;15,51;35,78;9,28;100,00
"313280 ITAMBE DO MATO DENTRO";43,80;15,04;32,01;9,15;100,00
"313290 ITAMOGI";34,29;24,85;37,21;3,64;100,00
"313300 ITAMONTE";28,02;17,68;44,30;10,01;100,00
"313310 ITANHANDU";21,88;17,19;50,64;10,30;100,00
"313320 ITANHOMI";40,59;15,36;33,88;10,17;100,00
"313330 ITAOBIM";38,58;17,16;35,55;8,71;100,00
"313340 ITAPAGIPE";30,76;13,74;44,57;10,93;100,00
"313350 ITAPECERICA";31,79;13,82;45,28;9,12;100,00
"313360 ITAPEVA";31,16;14,47;44,02;10,35;100,00
"313370 ITATIAIUCU";34,29;15,56;37,93;12,21;100,00
"313375 ITAU DE MINAS";17,17;19,75;55,92;7,17;100,00
"313380 ITAUNA";21,23;14,36;54,28;10,14;100,00
"313390 ITAVERAVA";44,68;17,11;29,26;8,95;100,00
"313400 ITINGA";44,17;14,59;29,71;11,52;100,00
"313410 ITUETA";41,52;17,43;26,64;14,42;100,00
"313420 ITUIUTABA";22,75;17,24;51,35;8,66;100,00
"313430 ITUMIRIM";26,09;13,85;48,35;11,71;100,00
"313440 ITURAMA";25,24;12,72;52,62;9,42;100,00
"313450 ITUTINGA";29,21;14,96;45,87;9,96;100,00
"313460 JABOTICATUBAS";37,57;14,18;37,63;10,62;100,00
"313470 JACINTO";47,87;12,36;30,41;9,36;100,00
"313480 JACUI";35,06;17,81;34,07;13,06;100,00
"313490 JACUTINGA";25,87;16,08;45,52;12,53;100,00
"313500 JAGUARACU";28,77;17,96;38,89;14,38;100,00
"313505 JAIBA";35,87;15,40;37,24;11,49;100,00
"313507 JAMPRUCA";42,17;17,66;30,40;9,77;100,00
"313510 JANAUBA";28,02;13,54;48,48;9,96;100,00
"313520 JANUARIA";33,06;12,77;45,33;8,85;100,00
"313530 JAPARAIBA";20,21;19,50;46,66;13,63;100,00
"313535 JAPONVAR";40,31;15,39;35,06;9,24;100,00
"313540 JECEABA";37,70;15,52;33,96;12,83;100,00
"313545 JENIPAPO DE MINAS";39,23;16,79;34,17;9,81;100,00
"313550 JEQUERI";51,42;12,86;25,75;9,97;100,00
"313560 JEQUITAI";36,83;12,89;38,22;12,07;100,00
"313570 JEQUITIBA";41,59;13,66;32,78;11,97;100,00
"313580 JEQUITINHONHA";41,63;15,56;32,64;10,16;100,00
"313590 JESUANIA";37,10;18,22;31,00;13,69;100,00
"313600 JOAIMA";44,82;16,07;28,25;10,87;100,00
"313610 JOANESIA";45,66;14,04;27,18;13,12;100,00
"313620 JOAO MONLEVADE";16,25;14,97;59,24;9,53;100,00
"313630 JOAO PINHEIRO";27,14;13,57;47,53;11,77;100,00
"313640 JOAQUIM FELICIO";35,86;16,67;31,23;16,24;100,00
"313650 JORDANIA";40,69;13,26;34,41;11,65;100,00
"313652 JOSE GONCALVES DE MINAS";40,42;12,77;37,29;9,52;100,00
"313655 JOSE RAYDAN";48,32;15,00;28,35;8,32;100,00
"313657 JOSENOPOLIS";50,13;12,30;26,19;11,38;100,00
"313660 NOVA UNIAO";39,49;12,25;35,87;12,39;100,00
"313665 JUATUBA";22,49;16,53;49,98;11,01;100,00
"313670 JUIZ DE FORA";12,64;14,59;64,07;8,70;100,00
"313680 JURAMENTO";28,93;11,90;45,68;13,49;100,00
"313690 JURUAIA";31,59;16,89;36,79;14,73;100,00
"313695 JUVENILIA";42,17;12,27;35,36;10,20;100,00
"313700 LADAINHA";50,41;16,20;25,80;7,59;100,00
"313710 LAGAMAR";29,32;14,00;43,59;13,08;100,00
"313720 LAGOA DA PRATA";23,76;16,32;48,25;11,68;100,00
"313730 LAGOA DOS PATOS";40,53;13,25;37,90;8,31;100,00
"313740 LAGOA DOURADA";37,64;18,92;32,99;10,44;100,00
"313750 LAGOA FORMOSA";29,24;21,18;37,58;12,01;100,00
"313753 LAGOA GRANDE";27,20;15,43;39,75;17,62;100,00
"313760 LAGOA SANTA";17,46;12,04;60,77;9,73;100,00
"313770 LAJINHA";33,13;17,52;36,93;12,42;100,00
"313780 LAMBARI";25,63;17,60;44,28;12,49;100,00
"313790 LAMIM";43,63;15,01;34,84;6,52;100,00
"313800 LARANJAL";30,50;12,95;44,95;11,61;100,00
"313810 LASSANCE";30,75;23,18;32,72;13,34;100,00
"313820 LAVRAS";16,39;13,88;61,26;8,47;100,00
"313830 LEANDRO FERREIRA";31,41;18,79;34,86;14,94;100,00
"313835 LEME DO PRADO";34,58;12,19;44,32;8,91;100,00
"313840 LEOPOLDINA";25,39;14,44;50,18;9,98;100,00
"313850 LIBERDADE";39,79;14,06;34,17;11,98;100,00
"313860 LIMA DUARTE";31,81;15,23;41,14;11,81;100,00
"313862 LIMEIRA DO OESTE";32,12;12,42;46,26;9,20;100,00
"313865 LONTRA";35,61;14,29;40,13;9,97;100,00
"313867 LUISBURGO";38,95;13,61;26,58;20,87;100,00
"313868 LUISLANDIA";35,72;15,87;31,14;17,27;100,00
"313870 LUMINARIAS";36,50;16,30;38,28;8,92;100,00
"313880 LUZ";24,57;16,67;46,53;12,22;100,00
"313890 MACHACALIS";40,24;15,11;37,19;7,46;100,00
"313900 MACHADO";25,19;18,68;44,74;11,40;100,00
"313910 MADRE DE DEUS DE MINAS";30,08;13,51;44,94;11,46;100,00
"313920 MALACACHETA";44,89;11,61;34,27;9,22;100,00
"313925 MAMONAS";49,66;9,54;26,88;13,92;100,00
"313930 MANGA";38,06;14,66;36,96;10,33;100,00
"313940 MANHUACU";28,35;18,16;42,57;10,92;100,00
"313950 MANHUMIRIM";33,36;14,42;42,39;9,83;100,00
"313960 MANTENA";37,24;12,62;40,54;9,60;100,00
"313970 MARAVILHAS";27,12;19,78;38,44;14,67;100,00
"313980 MAR DE ESPANHA";30,69;19,99;40,50;8,81;100,00
"313990 MARIA DA FE";32,68;14,48;43,36;9,48;100,00
"314000 MARIANA";20,69;12,39;58,06;8,86;100,00
"314010 MARILAC";37,91;21,54;31,85;8,71;100,00
"314015 MARIO CAMPOS";27,18;15,87;44,55;12,40;100,00
"314020 MARIPA DE MINAS";32,99;15,93;36,10;14,98;100,00
"314030 MARLIERIA";33,16;17,70;36,68;12,46;100,00
"314040 MARMELOPOLIS";34,51;14,93;37,12;13,45;100,00
"314050 MARTINHO CAMPOS";34,72;16,84;35,80;12,63;100,00
"314053 MARTINS SOARES";34,28;17,88;33,41;14,43;100,00
"314055 MATA VERDE";51,43;11,71;29,43;7,42;100,00
"314060 MATERLANDIA";45,27;15,78;29,55;9,41;100,00
"314070 MATEUS LEME";27,74;13,92;46,16;12,18;100,00
"314080 MATIAS BARBOSA";19,70;19,69;46,18;14,43;100,00
"314085 MATIAS CARDOSO";38,47;16,19;34,59;10,74;100,00
"314090 MATIPO";36,69;15,73;31,79;15,79;100,00
"314100 MATO VERDE";35,78;14,83;39,28;10,11;100,00
"314110 MATOZINHOS";18,97;16,25;54,24;10,54;100,00
"314120 MATUTINA";40,71;14,35;33,99;10,95;100,00
"314130 MEDEIROS";34,68;18,09;36,29;10,94;100,00
"314140 MEDINA";43,02;15,80;31,63;9,55;100,00
"314150 MENDES PIMENTEL";43,17;13,51;31,21;12,10;100,00
"314160 MERCES";41,98;13,60;34,90;9,52;100,00
"314170 MESQUITA";42,21;13,85;33,92;10,01;100,00
"314180 MINAS NOVAS";38,64;14,15;36,89;10,32;100,00
"314190 MINDURI";32,63;18,35;42,32;6,70;100,00
"314200 MIRABELA";35,61;9,60;42,42;12,37;100,00
"314210 MIRADOURO";37,77;14,45;34,03;13,75;100,00
"314220 MIRAI";34,84;16,37;38,65;10,14;100,00
"314225 MIRAVANIA";42,00;18,76;30,89;8,35;100,00
"314230 MOEDA";35,85;18,77;31,98;13,40;100,00
"314240 MOEMA";22,80;18,64;46,60;11,95;100,00
"314250 MONJOLOS";33,64;19,97;39,19;7,20;100,00
"314260 MONSENHOR PAULO";29,14;14,77;47,10;9,00;100,00
"314270 MONTALVANIA";42,23;13,00;32,63;12,14;100,00
"314280 MONTE ALEGRE DE MINAS";37,17;16,05;35,98;10,80;100,00
"314290 MONTE AZUL";41,98;11,03;37,79;9,20;100,00
"314300 MONTE BELO";34,18;17,26;36,31;12,26;100,00
"314310 MONTE CARMELO";28,79;16,08;44,95;10,18;100,00
"314315 MONTE FORMOSO";49,52;14,23;24,00;12,25;100,00
"314320 MONTE SANTO DE MINAS";31,58;17,57;42,02;8,83;100,00
"314330 MONTES CLAROS";15,96;12,51;64,38;7,15;100,00
"314340 MONTE SIAO";28,22;15,40;40,62;15,75;100,00
"314345 MONTEZUMA";46,24;13,53;26,75;13,48;100,00
"314350 MORADA NOVA DE MINAS";35,33;16,80;40,40;7,47;100,00
"314360 MORRO DA GARCA";38,48;11,02;37,89;12,61;100,00
"314370 MORRO DO PILAR";51,29;12,76;26,27;9,68;100,00
"314380 MUNHOZ";40,48;13,76;32,90;12,86;100,00
"314390 MURIAE";26,58;15,41;48,18;9,83;100,00
"314400 MUTUM";42,62;13,80;32,44;11,14;100,00
"314410 MUZAMBINHO";23,72;14,58;51,09;10,61;100,00
"314420 NACIP RAYDAN";48,65;13,42;22,99;14,95;100,00
"314430 NANUQUE";27,14;15,20;48,28;9,38;100,00
"314435 NAQUE";27,12;16,81;43,50;12,57;100,00
"314437 NATALANDIA";33,11;19,39;37,32;10,18;100,00
"314440 NATERCIA";35,29;11,23;41,29;12,19;100,00
"314450 NAZARENO";29,64;19,17;43,15;8,03;100,00
"314460 NEPOMUCENO";35,67;14,07;38,12;12,13;100,00
"314465 NINHEIRA";59,76;8,75;23,66;7,83;100,00
"314467 NOVA BELEM";45,01;11,01;30,73;13,25;100,00
"314470 NOVA ERA";18,68;17,39;49,99;13,94;100,00
"314480 NOVA LIMA";15,18;12,76;63,77;8,29;100,00
"314490 NOVA MODICA";45,29;12,88;33,81;8,02;100,00
"314500 NOVA PONTE";25,93;19,63;41,61;12,84;100,00
"314505 NOVA PORTEIRINHA";33,73;16,88;37,32;12,06;100,00
"314510 NOVA RESENDE";43,48;14,15;34,10;8,27;100,00
"314520 NOVA SERRANA";21,41;20,45;46,78;11,36;100,00
"314530 NOVO CRUZEIRO";48,49;12,82;27,47;11,23;100,00
"314535 NOVO ORIENTE DE MINAS";52,33;14,52;25,93;7,22;100,00
"314537 NOVORIZONTE";41,05;15,38;28,64;14,93;100,00
"314540 OLARIA";42,07;16,56;27,33;14,04;100,00
"314545 OLHOS-D'AGUA";42,98;13,55;32,03;11,44;100,00
"314550 OLIMPIO NORONHA";26,56;17,40;39,50;16,54;100,00
"314560 OLIVEIRA";28,68;17,18;43,82;10,32;100,00
"314570 OLIVEIRA FORTES";32,73;12,76;31,76;22,75;100,00
"314580 ONCA DE PITANGUI";47,36;11,36;34,27;7,01;100,00
"314585 ORATORIOS";33,70;16,25;32,86;17,19;100,00
"314587 ORIZANIA";39,64;21,82;23,04;15,50;100,00
"314590 OURO BRANCO";16,36;13,39;59,77;10,47;100,00
"314600 OURO FINO";29,53;13,82;45,31;11,34;100,00
"314610 OURO PRETO";15,57;15,66;57,83;10,94;100,00
"314620 OURO VERDE DE MINAS";47,37;12,24;29,58;10,82;100,00
"314625 PADRE CARVALHO";50,48;8,38;30,99;10,16;100,00
"314630 PADRE PARAISO";43,79;14,83;30,93;10,44;100,00
"314640 PAINEIRAS";34,67;19,76;32,13;13,44;100,00
"314650 PAINS";25,73;19,95;42,83;11,49;100,00
"314655 PAI PEDRO";46,80;8,65;32,13;12,42;100,00
"314660 PAIVA";36,63;12,91;39,10;11,36;100,00
"314670 PALMA";35,44;9,75;45,39;9,41;100,00
"314675 PALMOPOLIS";45,56;17,75;25,33;11,36;100,00
"314690 PAPAGAIOS";28,25;15,50;42,69;13,55;100,00
"314700 PARACATU";20,83;13,56;56,06;9,55;100,00
"314710 PARA DE MINAS";22,37;17,33;49,85;10,45;100,00
"314720 PARAGUACU";22,63;14,98;46,98;15,41;100,00
"314730 PARAISOPOLIS";26,88;13,59;51,82;7,70;100,00
"314740 PARAOPEBA";22,32;18,51;47,82;11,35;100,00
"314750 PASSABEM";44,38;10,61;33,98;11,03;100,00
"314760 PASSA QUATRO";26,33;15,30;47,63;10,74;100,00
"314770 PASSA TEMPO";30,92;18,94;38,39;11,75;100,00
"314780 PASSA-VINTE";28,97;24,13;30,86;16,04;100,00
"314790 PASSOS";22,60;15,94;52,01;9,45;100,00
"314795 PATIS";37,87;16,85;34,30;10,98;100,00
"314800 PATOS DE MINAS";18,49;15,50;57,46;8,54;100,00
"314810 PATROCINIO";25,33;16,66;48,72;9,29;100,00
"314820 PATROCINIO DO MURIAE";27,61;19,46;41,65;11,28;100,00
"314830 PAULA CANDIDO";37,31;17,49;32,34;12,86;100,00
"314840 PAULISTAS";38,80;15,96;33,29;11,95;100,00
"314850 PAVAO";42,80;13,40;33,10;10,70;100,00
"314860 PECANHA";41,80;14,04;33,02;11,14;100,00
"314870 PEDRA AZUL";41,64;13,84;35,59;8,93;100,00
"314875 PEDRA BONITA";44,65;9,54;26,10;19,71;100,00
"314880 PEDRA DO ANTA";47,22;13,54;26,52;12,72;100,00
"314890 PEDRA DO INDAIA";39,20;9,46;42,31;9,04;100,00
"314900 PEDRA DOURADA";31,44;13,19;33,60;21,76;100,00
"314910 PEDRALVA";32,42;15,38;38,75;13,45;100,00
"314915 PEDRAS DE MARIA DA CRUZ";38,64;14,11;34,10;13,14;100,00
"314920 PEDRINOPOLIS";24,18;16,96;46,87;12,00;100,00
"314930 PEDRO LEOPOLDO";18,62;14,31;57,54;9,54;100,00
"314940 PEDRO TEIXEIRA";43,21;7,30;37,72;11,78;100,00
"314950 PEQUERI";23,42;23,70;46,88;6,00;100,00
"314960 PEQUI";24,16;24,38;40,37;11,09;100,00
"314970 PERDIGAO";25,82;15,58;46,74;11,86;100,00
"314980 PERDIZES";30,48;14,72;40,80;13,99;100,00
"314990 PERDOES";28,35;15,95;46,85;8,86;100,00
"314995 PERIQUITO";35,11;17,68;37,53;9,68;100,00
"315000 PESCADOR";39,33;13,91;36,24;10,52;100,00
"315010 PIAU";38,61;22,99;29,33;9,07;100,00
"315015 PIEDADE DE CARATINGA";42,64;13,26;27,20;16,90;100,00
"315020 PIEDADE DE PONTE NOVA";36,78;18,69;32,38;12,15;100,00
"315030 PIEDADE DO RIO GRANDE";40,39;18,19;33,87;7,55;100,00
"315040 PIEDADE DOS GERAIS";43,20;21,30;25,21;10,28;100,00
"315050 PIMENTA";29,13;19,60;36,22;15,05;100,00
"315053 PINGO-D'AGUA";35,37;18,70;32,04;13,89;100,00
"315057 PINTOPOLIS";43,74;14,57;32,15;9,55;100,00
"315060 PIRACEMA";40,79;17,14;32,65;9,42;100,00
"315070 PIRAJUBA";25,14;16,46;44,69;13,71;100,00
"315080 PIRANGA";45,68;13,72;26,32;14,28;100,00
"315090 PIRANGUCU";29,87;16,82;40,92;12,38;100,00
"315100 PIRANGUINHO";23,63;17,26;49,04;10,07;100,00
"315110 PIRAPETINGA";21,95;14,25;50,04;13,76;100,00
"315120 PIRAPORA";17,42;14,92;59,23;8,43;100,00
"315130 PIRAUBA";37,62;15,00;38,69;8,68;100,00
"315140 PITANGUI";22,59;16,26;48,78;12,38;100,00
"315150 PIUMHI";29,47;16,46;45,12;8,95;100,00
"315160 PLANURA";27,45;16,08;45,03;11,45;100,00
"315170 POCO FUNDO";41,36;13,62;32,59;12,43;100,00
"315180 POCOS DE CALDAS";16,67;13,79;60,30;9,25;100,00
"315190 POCRANE";44,20;13,96;30,57;11,27;100,00
