 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2010
"Município";"Sem instrução/1º ciclo fundamental incompleto";"1º ciclo fundamental completo/2º ciclo incompleto";"2º ciclo fundamental completo ou mais";"Não determinada";"Total"
"150660 SANTA MARIA DO PARA";37,77;16,25;33,35;12,63;100,00
"150670 SANTANA DO ARAGUAIA";33,09;13,34;39,27;14,31;100,00
"150680 SANTAREM";20,27;13,81;56,34;9,58;100,00
"150690 SANTAREM NOVO";34,38;17,72;37,91;9,99;100,00
"150700 SANTO ANTONIO DO TAUA";27,02;18,32;44,72;9,95;100,00
"150710 SAO CAETANO DE ODIVELAS";30,95;20,73;34,52;13,80;100,00
"150715 SAO DOMINGOS DO ARAGUAIA";34,95;14,71;36,22;14,13;100,00
"150720 SAO DOMINGOS DO CAPIM";43,38;16,57;26,98;13,07;100,00
"150730 SAO FELIX DO XINGU";40,56;11,29;32,86;15,29;100,00
"150740 SAO FRANCISCO DO PARA";32,33;16,03;38,50;13,13;100,00
"150745 SAO GERALDO DO ARAGUAIA";39,96;14,74;32,72;12,58;100,00
"150746 SAO JOAO DA PONTA";32,02;15,33;36,80;15,84;100,00
"150747 SAO JOAO DE PIRABAS";40,42;21,13;24,74;13,71;100,00
"150750 SAO JOAO DO ARAGUAIA";45,41;15,63;28,75;10,22;100,00
"150760 SAO MIGUEL DO GUAMA";34,31;18,70;34,34;12,64;100,00
"150770 SAO SEBASTIAO DA BOA VISTA";37,21;16,33;32,91;13,55;100,00
"150775 SAPUCAIA";42,31;15,67;26,78;15,24;100,00
"150780 SENADOR JOSE PORFIRIO";51,57;13,31;19,72;15,41;100,00
"150790 SOURE";25,79;18,26;43,20;12,75;100,00
"150795 TAILANDIA";36,23;14,21;35,57;13,99;100,00
"150796 TERRA ALTA";26,95;17,46;41,21;14,37;100,00
"150797 TERRA SANTA";24,54;20,34;43,55;11,58;100,00
"150800 TOME-ACU";37,65;16,43;31,99;13,92;100,00
"150803 TRACUATEUA";43,51;17,42;26,96;12,11;100,00
"150805 TRAIRAO";44,35;13,02;26,80;15,82;100,00
"150808 TUCUMA";31,79;14,30;41,34;12,57;100,00
"150810 TUCURUI";23,90;16,05;49,72;10,32;100,00
"150812 ULIANOPOLIS";42,80;10,46;31,23;15,51;100,00
"150815 URUARA";38,99;15,03;32,92;13,06;100,00
"150820 VIGIA";29,98;19,80;38,34;11,88;100,00
"150830 VISEU";45,72;15,61;24,10;14,56;100,00
"150835 VITORIA DO XINGU";43,42;13,09;30,68;12,81;100,00
"150840 XINGUARA";32,18;16,21;38,68;12,93;100,00
"160005 SERRA DO NAVIO";18,67;10,41;61,06;9,86;100,00
"160010 AMAPA";24,76;20,45;41,89;12,91;100,00
"160015 PEDRA BRANCA DO AMAPARI";31,86;14,76;41,07;12,30;100,00
"160020 CALCOENE";25,69;17,98;43,79;12,54;100,00
"160021 CUTIAS";24,39;15,71;50,18;9,72;100,00
"160023 FERREIRA GOMES";26,93;14,93;45,89;12,25;100,00
"160025 ITAUBAL";36,16;15,39;35,14;13,31;100,00
"160027 LARANJAL DO JARI";21,32;14,39;52,18;12,11;100,00
"160030 MACAPA";16,02;9,99;65,98;8,01;100,00
"160040 MAZAGAO";43,19;12,11;35,83;8,87;100,00
"160050 OIAPOQUE";27,35;15,60;44,88;12,17;100,00
"160053 PORTO GRANDE";22,50;17,86;48,64;11,00;100,00
"160055 PRACUUBA";25,25;13,76;46,51;14,48;100,00
"160060 SANTANA";21,08;10,60;58,55;9,78;100,00
"160070 TARTARUGALZINHO";33,41;15,92;37,12;13,55;100,00
"160080 VITORIA DO JARI";29,10;15,55;43,62;11,73;100,00
"170025 ABREULANDIA";37,48;10,01;41,21;11,29;100,00
"170030 AGUIARNOPOLIS";29,55;13,36;44,55;12,54;100,00
"170035 ALIANCA DO TOCANTINS";29,89;15,40;46,73;7,98;100,00
"170040 ALMAS";39,47;13,24;38,26;9,04;100,00
"170070 ALVORADA";26,34;12,73;50,92;10,00;100,00
