"municipality","1991","2000","2010","Total"
"150095 AURORA DO PARA",...,85.90,79.91,82.45
"150100 AVEIRO",95.58,91.33,84.84,89.89
"150110 BAGRE",95.70,92.60,85.93,90.46
"150120 BAIAO",96.74,85.75,71.53,81.75
"150125 BANNACH",...,71.13,60.57,66.13
"150130 BARCARENA",76.47,64.89,52.16,61.29
"150140 BELEM",61.73,49.33,36.23,48.54
"150145 BELTERRA",...,86.81,73.37,79.71
"150150 BENEVIDES",90.76,72.28,52.32,73.31
"150157 BOM JESUS DO TOCANTINS",84.63,80.26,60.00,74.84
"150160 BONITO",93.39,84.85,74.46,82.68
"150170 BRAGANCA",93.23,81.53,67.27,79.85
"150172 BRASIL NOVO",...,66.79,63.03,65.00
"150175 BREJO GRANDE DO ARAGUAIA",96.40,76.27,66.41,82.16
"150178 BREU BRANCO",...,76.59,72.02,73.74
"150180 BREVES",93.82,84.32,79.70,85.36
"150190 BUJARU",93.19,87.61,81.80,86.40
"150195 CACHOEIRA DO PIRIA",...,93.58,89.34,90.89
"150200 CACHOEIRA DO ARARI",93.20,88.95,74.93,84.36
"150210 CAMETA",95.49,89.72,75.44,85.58
"150215 CANAA DOS CARAJAS",...,67.19,48.10,53.62
"150220 CAPANEMA",84.42,71.15,57.31,69.97
"150230 CAPITAO POCO",94.33,86.31,74.15,84.44
"150240 CASTANHAL",80.97,67.10,50.34,63.40
"150250 CHAVES",96.46,91.03,78.78,87.99
"150260 COLARES",94.06,84.67,75.47,83.69
"150270 CONCEICAO DO ARAGUAIA",86.49,71.36,51.81,70.82
"150275 CONCORDIA DO PARA",89.91,85.04,69.63,79.36
"150276 CUMARU DO NORTE",...,80.09,57.36,64.84
"150277 CURIONOPOLIS",83.99,79.19,62.93,77.51
"150280 CURRALINHO",91.93,92.39,79.63,86.59
"150285 CURUA",...,93.04,84.05,87.90
"150290 CURUCA",95.11,88.91,75.73,85.42
"150293 DOM ELISEU",87.23,78.13,62.17,72.82
"150295 ELDORADO DOS CARAJAS",...,79.41,68.57,73.84
"150300 FARO",94.40,89.77,79.58,89.04
"150304 FLORESTA DO ARAGUAIA",...,81.84,69.85,75.16
"150307 GARRAFAO DO NORTE",96.64,88.12,75.18,85.75
"150309 GOIANESIA DO PARA",...,71.92,65.22,68.05
"150310 GURUPA",95.55,87.64,76.49,85.02
"150320 IGARAPE-ACU",91.61,81.65,70.33,80.19
"150330 IGARAPE-MIRI",94.03,85.77,78.48,85.17
"150340 INHANGAPI",91.04,79.47,71.35,79.06
"150345 IPIXUNA DO PARA",...,88.68,80.77,83.35
"150350 IRITUIA",93.94,80.74,76.51,83.55
"150360 ITAITUBA",79.11,71.38,51.99,67.82
"150370 ITUPIRANGA",94.07,87.60,76.36,85.08
"150375 JACAREACANGA",...,71.65,68.70,70.48
"150380 JACUNDA",87.63,70.74,60.69,72.10
"150390 JURUTI",93.03,93.51,74.66,84.65
"150400 LIMOEIRO DO AJURU",94.77,88.87,80.88,87.16
"150405 MAE DO RIO",92.57,75.44,63.11,77.21
"150410 MAGALHAES BARATA",97.63,91.20,75.01,87.40
"150420 MARABA",81.43,65.28,48.36,61.45
"150430 MARACANA",94.41,88.47,77.68,86.56
"150440 MARAPANIM",91.14,84.86,67.44,79.90
"150442 MARITUBA",...,70.47,47.25,56.68
"150445 MEDICILANDIA",90.30,62.45,64.19,72.44
"150450 MELGACO",97.53,92.82,89.38,92.42
"150460 MOCAJUBA",92.78,84.63,79.67,84.84
