 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2000
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Alfabetização de adultos";"Não determinada";"Total"
"130200 ITAPIRANGA";8,64;22,34;43,90;24,27;0,14;0,71;100,00
"130210 JAPURA";45,51;20,17;28,59;4,65;0,07;1,01;100,00
"130220 JURUA";41,84;20,48;21,27;11,84;1,11;3,46;100,00
"130230 JUTAI";46,64;23,52;19,78;9,46;0,22;0,39;100,00
"130240 LABREA";44,28;18,01;22,71;13,59;0,37;1,03;100,00
"130250 MANACAPURU";21,67;22,80;33,33;21,40;0,18;0,62;100,00
"130255 MANAQUIRI";17,51;25,93;41,02;15,52;0,03;-;100,00
"130260 MANAUS";6,30;10,51;32,30;49,80;0,15;0,94;100,00
"130270 MANICORE";30,83;21,63;30,41;14,79;0,47;1,87;100,00
"130280 MARAA";51,92;22,05;17,30;5,84;0,46;2,43;100,00
"130290 MAUES";15,33;25,13;36,13;21,87;0,23;1,32;100,00
"130300 NHAMUNDA";16,55;22,13;34,13;24,87;0,51;1,80;100,00
"130310 NOVA OLINDA DO NORTE";28,08;30,85;28,71;12,15;-;0,22;100,00
"130320 NOVO AIRAO";21,21;23,62;37,33;16,50;-;1,34;100,00
"130330 NOVO ARIPUANA";25,32;29,27;30,61;14,16;-;0,63;100,00
"130340 PARINTINS";10,74;20,69;39,33;28,44;0,11;0,69;100,00
"130350 PAUINI";53,36;22,64;14,42;7,19;0,23;2,17;100,00
"130353 PRESIDENTE FIGUEIREDO";13,34;18,16;35,73;31,16;0,21;1,40;100,00
"130356 RIO PRETO DA EVA";15,80;21,58;38,08;22,30;0,35;1,89;100,00
"130360 SANTA ISABEL DO RIO NEGRO";35,95;17,18;28,55;17,20;0,12;1,01;100,00
"130370 SANTO ANTONIO DO ICA";41,89;18,28;26,70;11,27;1,05;0,82;100,00
"130380 SAO GABRIEL DA CACHOEIRA";27,62;16,94;30,46;23,91;0,24;0,82;100,00
"130390 SAO PAULO DE OLIVENCA";39,25;27,04;21,94;11,25;0,07;0,45;100,00
"130395 SAO SEBASTIAO DO UATUMA";13,94;19,47;41,15;24,85;0,46;0,13;100,00
"130400 SILVES";11,30;24,86;41,85;21,22;0,12;0,65;100,00
"130406 TABATINGA";22,17;17,15;33,04;26,12;0,09;1,43;100,00
"130410 TAPAUA";49,63;18,03;21,34;10,65;0,12;0,22;100,00
"130420 TEFE";20,39;22,76;32,41;23,58;0,08;0,78;100,00
"130423 TONANTINS";30,15;30,73;29,40;9,06;0,35;0,30;100,00
"130426 UARINI";34,22;28,05;22,94;13,86;0,23;0,69;100,00
"130430 URUCARA";11,34;20,81;42,01;24,84;0,19;0,81;100,00
"130440 URUCURITUBA";11,52;29,48;36,92;21,22;0,17;0,69;100,00
"140002 AMAJARI";29,50;21,60;34,56;13,33;0,20;0,80;100,00
"140005 ALTO ALEGRE";21,35;19,07;37,65;20,29;0,90;0,73;100,00
"140010 BOA VISTA";7,58;10,79;28,22;51,59;0,08;1,74;100,00
"140015 BONFIM";20,27;19,40;39,73;20,39;-;0,22;100,00
"140017 CANTA";22,76;20,51;35,96;20,12;-;0,66;100,00
"140020 CARACARAI";20,08;18,71;31,12;26,85;0,06;3,19;100,00
"140023 CAROEBE";23,53;22,58;28,42;25,10;-;0,36;100,00
"140028 IRACEMA";16,18;24,93;32,33;23,83;0,32;2,42;100,00
"140030 MUCAJAI";19,87;18,34;32,86;27,02;0,20;1,70;100,00
"140040 NORMANDIA";24,02;17,27;40,22;18,21;-;0,28;100,00
"140045 PACARAIMA";17,02;14,76;34,11;31,49;1,23;1,39;100,00
"140047 RORAINOPOLIS";21,32;18,05;32,83;25,24;0,14;2,42;100,00
"140050 SAO JOAO DA BALIZA";14,73;22,53;30,74;31,32;-;0,68;100,00
"140060 SAO LUIZ";19,09;15,23;34,29;29,51;-;1,88;100,00
"140070 UIRAMUTA";38,78;18,72;29,45;11,54;0,46;1,06;100,00
"150010 ABAETETUBA";15,58;27,57;30,19;25,87;0,05;0,73;100,00
"150013 ABEL FIGUEIREDO";22,11;23,03;31,82;21,79;-;1,24;100,00
"150020 ACARA";30,30;39,09;21,90;7,94;-;0,78;100,00
"150030 AFUA";45,85;26,17;20,21;6,65;-;1,11;100,00
"150034 AGUA AZUL DO NORTE";24,94;30,45;33,40;10,58;-;0,62;100,00
"150040 ALENQUER";15,25;31,89;30,12;22,09;-;0,64;100,00
"150050 ALMEIRIM";19,16;23,42;24,24;32,83;-;0,36;100,00
"150060 ALTAMIRA";17,16;20,45;29,96;31,34;0,04;1,05;100,00
"150070 ANAJAS";50,20;31,26;12,70;4,81;-;1,04;100,00
"150080 ANANINDEUA";4,73;13,03;31,11;50,13;0,03;0,97;100,00
"150085 ANAPU";29,11;30,38;28,61;10,05;0,11;1,74;100,00
"150090 AUGUSTO CORREA";24,29;35,29;28,79;9,96;0,25;1,42;100,00
"150095 AURORA DO PARA";31,50;34,99;21,90;8,49;-;3,12;100,00
"150100 AVEIRO";17,67;35,11;35,57;11,41;-;0,24;100,00
"150110 BAGRE";31,60;38,65;20,51;8,71;0,15;0,38;100,00
"150120 BAIAO";12,23;30,78;32,64;23,24;0,25;0,86;100,00
"150125 BANNACH";21,55;27,19;41,23;9,12;-;0,91;100,00
"150130 BARCARENA";11,74;23,12;29,90;34,40;0,03;0,81;100,00
"150140 BELEM";4,34;12,04;28,64;54,16;0,05;0,77;100,00
"150145 BELTERRA";14,95;27,64;37,56;18,61;-;1,24;100,00
"150150 BENEVIDES";7,96;21,42;35,87;33,79;0,07;0,89;100,00
"150157 BOM JESUS DO TOCANTINS";30,50;25,94;26,63;15,74;0,07;1,12;100,00
"150160 BONITO";18,60;41,46;27,77;10,15;0,36;1,65;100,00
"150170 BRAGANCA";15,20;29,02;30,20;24,60;0,14;0,84;100,00
"150172 BRASIL NOVO";21,89;25,21;37,28;14,43;0,10;1,10;100,00
"150175 BREJO GRANDE DO ARAGUAIA";20,67;25,15;31,77;20,78;0,09;1,55;100,00
"150178 BREU BRANCO";22,14;30,92;32,70;13,08;0,05;1,11;100,00
"150180 BREVES";34,83;28,80;22,51;12,74;0,14;0,98;100,00
"150190 BUJARU";21,30;29,74;33,18;14,85;0,05;0,88;100,00
"150195 CACHOEIRA DO PIRIA";41,53;34,14;15,08;4,45;0,38;4,43;100,00
"150200 CACHOEIRA DO ARARI";17,80;31,75;35,66;13,89;-;0,91;100,00
"150210 CAMETA";12,95;32,36;34,95;18,97;0,06;0,71;100,00
"150215 CANAA DOS CARAJAS";18,49;26,92;38,12;15,72;-;0,75;100,00
"150220 CAPANEMA";12,78;24,21;28,94;33,12;0,08;0,88;100,00
"150230 CAPITAO POCO";29,15;33,28;23,85;12,04;0,08;1,60;100,00
"150240 CASTANHAL";9,62;19,88;31,88;37,84;0,04;0,74;100,00
"150250 CHAVES";36,90;37,45;17,83;4,45;0,14;3,24;100,00
"150260 COLARES";7,47;24,91;37,98;28,92;0,14;0,58;100,00
"150270 CONCEICAO DO ARAGUAIA";20,81;22,79;29,34;25,89;0,03;1,14;100,00
"150275 CONCORDIA DO PARA";22,58;36,17;28,36;12,50;0,18;0,21;100,00
"150276 CUMARU DO NORTE";22,43;36,00;31,29;9,49;-;0,79;100,00
