 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2000
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Alfabetização de adultos";"Não determinada";"Total"
"311620 CHIADOR";20,19;17,93;35,33;25,63;0,49;0,44;100,00
"311630 CIPOTANEA";16,76;28,42;38,20;15,82;0,20;0,60;100,00
"311640 CLARAVAL";10,32;37,24;30,51;21,42;-;0,52;100,00
"311650 CLARO DOS POCOES";14,40;25,42;31,76;26,77;0,32;1,33;100,00
"311660 CLAUDIO";5,46;14,98;46,55;31,70;0,85;0,46;100,00
"311670 COIMBRA";8,98;22,18;42,31;26,00;-;0,54;100,00
"311680 COLUNA";21,33;32,24;27,30;18,65;-;0,48;100,00
"311690 COMENDADOR GOMES";9,81;18,17;40,26;31,75;-;-;100,00
"311700 COMERCINHO";23,96;32,48;29,31;13,40;0,18;0,67;100,00
"311710 CONCEICAO DA APARECIDA";10,64;24,17;40,47;24,20;0,14;0,37;100,00
"311720 CONCEICAO DAS PEDRAS";8,77;29,97;32,95;27,10;0,96;0,25;100,00
"311730 CONCEICAO DAS ALAGOAS";10,76;19,03;40,39;28,72;0,06;1,04;100,00
"311740 CONCEICAO DE IPANEMA";24,78;19,73;32,24;22,85;0,06;0,34;100,00
"311750 CONCEICAO DO MATO DENTRO";22,45;28,01;34,09;14,95;-;0,50;100,00
"311760 CONCEICAO DO PARA";12,12;21,80;41,41;23,12;-;1,55;100,00
"311770 CONCEICAO DO RIO VERDE";14,03;21,38;35,34;28,77;0,06;0,42;100,00
"311780 CONCEICAO DOS OUROS";11,03;21,06;38,90;27,95;0,48;0,58;100,00
"311783 CONEGO MARINHO";24,18;23,87;31,19;20,63;-;0,12;100,00
"311787 CONFINS";5,34;14,09;40,80;39,39;-;0,38;100,00
"311790 CONGONHAL";13,22;17,17;41,15;27,77;0,27;0,41;100,00
"311800 CONGONHAS";4,85;15,29;38,55;40,23;0,20;0,88;100,00
"311810 CONGONHAS DO NORTE";24,94;26,64;31,16;16,79;0,47;-;100,00
"311820 CONQUISTA";10,84;16,49;40,26;31,99;-;0,42;100,00
"311830 CONSELHEIRO LAFAIETE";5,03;11,61;37,03;45,58;0,04;0,70;100,00
"311840 CONSELHEIRO PENA";18,01;20,83;31,81;28,32;0,25;0,78;100,00
"311850 CONSOLACAO";19,16;28,58;28,74;23,22;-;0,31;100,00
"311860 CONTAGEM";5,21;10,56;35,80;47,46;0,06;0,91;100,00
"311870 COQUEIRAL";10,31;21,99;42,88;24,44;0,12;0,27;100,00
"311880 CORACAO DE JESUS";19,74;26,32;31,23;21,93;0,31;0,47;100,00
"311890 CORDISBURGO";11,01;22,57;37,78;27,26;0,16;1,21;100,00
"311900 CORDISLANDIA";13,36;21,95;32,15;32,32;-;0,21;100,00
"311910 CORINTO";11,31;18,02;34,89;35,40;0,05;0,33;100,00
"311920 COROACI";16,79;26,20;34,61;21,82;0,07;0,50;100,00
"311930 COROMANDEL";9,47;19,38;34,50;36,28;0,13;0,23;100,00
"311940 CORONEL FABRICIANO";8,50;13,38;33,84;43,60;0,05;0,64;100,00
"311950 CORONEL MURTA";16,08;24,36;33,24;25,28;-;1,03;100,00
"311960 CORONEL PACHECO";14,01;17,90;36,22;30,85;0,23;0,79;100,00
"311970 CORONEL XAVIER CHAVES";6,56;23,84;47,22;21,84;-;0,54;100,00
"311980 CORREGO DANTA";9,76;20,60;39,99;26,73;0,36;2,57;100,00
"311990 CORREGO DO BOM JESUS";9,71;27,13;40,56;22,51;-;0,10;100,00
"311995 CORREGO FUNDO";9,63;19,02;48,07;20,58;0,05;2,65;100,00
"312000 CORREGO NOVO";16,93;30,03;34,06;17,75;-;1,24;100,00
"312010 COUTO DE MAGALHAES DE MINAS";12,75;24,47;35,31;27,10;-;0,38;100,00
"312015 CRISOLITA";39,92;19,03;26,18;13,35;0,24;1,29;100,00
"312020 CRISTAIS";14,88;21,26;41,94;20,61;0,22;1,08;100,00
"312030 CRISTALIA";25,83;25,52;28,50;18,57;0,41;1,16;100,00
"312040 CRISTIANO OTONI";7,47;16,84;45,13;29,92;0,45;0,20;100,00
"312050 CRISTINA";12,06;22,29;40,54;23,92;0,08;1,11;100,00
"312060 CRUCILANDIA";15,58;33,02;32,37;17,82;0,24;0,97;100,00
"312070 CRUZEIRO DA FORTALEZA";5,95;22,13;38,57;33,23;-;0,11;100,00
"312080 CRUZILIA";11,23;21,91;40,54;25,41;0,23;0,68;100,00
"312083 CUPARAQUE";16,30;28,98;33,57;20,73;-;0,42;100,00
"312087 CURRAL DE DENTRO";28,84;26,25;29,40;15,01;-;0,51;100,00
"312090 CURVELO";9,98;15,45;40,09;34,08;0,06;0,34;100,00
"312100 DATAS";10,42;30,06;33,09;24,54;0,43;1,47;100,00
"312110 DELFIM MOREIRA";13,50;24,82;40,88;20,80;-;-;100,00
"312120 DELFINOPOLIS";16,94;21,32;37,01;24,11;-;0,63;100,00
"312125 DELTA";14,71;19,54;40,54;24,93;-;0,28;100,00
"312130 DESCOBERTO";11,62;23,56;40,18;23,26;-;1,37;100,00
"312140 DESTERRO DE ENTRE RIOS";14,07;35,26;34,06;16,00;0,14;0,47;100,00
"312150 DESTERRO DO MELO";19,97;31,76;30,72;15,38;0,13;2,04;100,00
"312160 DIAMANTINA";10,62;17,49;32,96;38,17;0,03;0,72;100,00
"312170 DIOGO DE VASCONCELOS";19,37;35,13;30,83;12,39;2,06;0,22;100,00
"312180 DIONISIO";12,24;20,75;37,17;29,14;0,17;0,54;100,00
"312190 DIVINESIA";12,58;22,29;33,75;30,66;0,40;0,31;100,00
"312200 DIVINO";16,09;23,62;38,70;20,97;0,12;0,50;100,00
"312210 DIVINO DAS LARANJEIRAS";21,93;15,14;35,04;27,35;-;0,53;100,00
"312220 DIVINOLANDIA DE MINAS";15,59;27,11;35,49;21,05;0,49;0,27;100,00
"312230 DIVINOPOLIS";5,02;11,57;36,83;45,92;0,09;0,58;100,00
"312235 DIVISA ALEGRE";25,97;23,59;32,79;17,49;-;0,16;100,00
"312240 DIVISA NOVA";12,07;31,85;33,93;21,29;0,39;0,47;100,00
"312245 DIVISOPOLIS";36,16;24,23;24,41;15,09;-;0,12;100,00
"312247 DOM BOSCO";14,38;25,32;38,00;21,04;-;1,26;100,00
"312250 DOM CAVATI";11,79;20,99;36,59;29,50;0,05;1,07;100,00
"312260 DOM JOAQUIM";21,72;26,34;35,32;16,18;0,44;-;100,00
"312270 DOM SILVERIO";11,43;25,44;36,03;27,09;-;-;100,00
"312280 DOM VICOSO";11,86;23,50;40,76;21,95;0,09;1,85;100,00
"312290 DONA EUSEBIA";10,74;16,62;44,88;27,48;-;0,28;100,00
"312300 DORES DE CAMPOS";4,94;18,74;46,19;29,47;0,27;0,38;100,00
"312310 DORES DE GUANHAES";22,04;26,37;31,16;20,14;-;0,30;100,00
"312320 DORES DO INDAIA";10,95;21,15;34,35;33,41;-;0,14;100,00
"312330 DORES DO TURVO";13,46;28,99;37,34;19,67;-;0,54;100,00
"312340 DORESOPOLIS";4,03;21,81;42,83;29,96;-;1,38;100,00
"312350 DOURADOQUARA";7,95;22,73;43,96;25,06;-;0,30;100,00
"312352 DURANDE";17,95;24,05;36,06;20,83;-;1,11;100,00
"312360 ELOI MENDES";10,91;17,67;38,93;31,72;0,17;0,60;100,00
"312370 ENGENHEIRO CALDAS";24,28;17,86;32,24;24,93;0,08;0,61;100,00
"312380 ENGENHEIRO NAVARRO";20,43;25,11;32,99;20,77;-;0,71;100,00
"312385 ENTRE FOLHAS";15,67;23,53;38,54;21,21;0,17;0,88;100,00
"312390 ENTRE RIOS DE MINAS";8,38;23,09;40,71;27,40;0,10;0,31;100,00
"312400 ERVALIA";21,57;19,61;38,83;18,84;0,30;0,85;100,00
"312410 ESMERALDAS";9,16;20,06;47,26;22,78;0,04;0,69;100,00
"312420 ESPERA FELIZ";18,64;21,45;38,27;20,82;0,10;0,73;100,00
"312430 ESPINOSA";24,58;22,68;31,54;20,23;0,20;0,76;100,00
"312440 ESPIRITO SANTO DO DOURADO";16,08;21,58;36,68;25,03;0,19;0,44;100,00
"312450 ESTIVA";14,13;27,53;38,47;19,04;0,46;0,38;100,00
"312460 ESTRELA DALVA";17,35;20,87;35,21;26,57;-;-;100,00
"312470 ESTRELA DO INDAIA";14,29;23,66;41,73;20,13;-;0,19;100,00
"312480 ESTRELA DO SUL";14,60;22,71;33,89;27,70;0,22;0,88;100,00
"312490 EUGENOPOLIS";15,69;17,77;38,88;27,04;0,14;0,49;100,00
"312500 EWBANK DA CAMARA";8,18;16,68;45,21;28,22;-;1,71;100,00
"312510 EXTREMA";10,62;16,62;35,97;32,85;0,21;3,74;100,00
"312520 FAMA";10,37;16,46;43,35;28,69;0,39;0,73;100,00
"312530 FARIA LEMOS";14,36;22,92;34,63;27,86;-;0,23;100,00
"312540 FELICIO DOS SANTOS";17,14;34,06;29,60;18,21;-;0,99;100,00
"312550 SAO GONCALO DO RIO PRETO";17,06;25,31;31,12;25,93;0,26;0,31;100,00
"312560 FELISBURGO";31,58;21,11;25,54;18,34;0,24;3,20;100,00
"312570 FELIXLANDIA";10,23;20,83;43,23;24,15;0,21;1,34;100,00
"312580 FERNANDES TOURINHO";20,82;24,86;34,06;18,97;-;1,29;100,00
"312590 FERROS";19,58;33,28;31,79;13,47;0,05;1,84;100,00
"312595 FERVEDOURO";16,68;33,05;37,15;12,87;-;0,24;100,00
"312600 FLORESTAL";8,70;15,13;38,70;36,92;0,27;0,27;100,00
"312610 FORMIGA";7,68;16,10;37,56;38,17;0,19;0,30;100,00
"312620 FORMOSO";26,19;19,67;35,42;17,93;0,22;0,58;100,00
"312630 FORTALEZA DE MINAS";10,87;25,66;37,85;24,16;0,50;0,96;100,00
"312640 FORTUNA DE MINAS";7,63;22,32;46,04;23,83;-;0,17;100,00
"312650 FRANCISCO BADARO";23,21;29,66;27,10;17,68;0,24;2,11;100,00
"312660 FRANCISCO DUMONT";18,82;32,90;31,38;16,45;0,10;0,34;100,00
"312670 FRANCISCO SA";20,17;24,41;34,46;20,34;0,09;0,54;100,00
"312675 FRANCISCOPOLIS";31,91;27,58;26,19;12,72;0,22;1,37;100,00
"312680 FREI GASPAR";35,13;24,63;28,04;12,10;-;0,10;100,00
"312690 FREI INOCENCIO";20,70;18,42;35,16;25,29;0,11;0,33;100,00
"312695 FREI LAGONEGRO";30,09;26,33;29,56;11,22;0,76;2,04;100,00
"312700 FRONTEIRA";9,62;15,08;38,60;36,16;-;0,54;100,00
"312705 FRONTEIRA DOS VALES";41,64;17,46;23,48;16,94;-;0,49;100,00
"312707 FRUTA DE LEITE";38,40;30,75;25,10;5,73;-;0,02;100,00
"312710 FRUTAL";8,66;17,43;39,05;34,31;0,03;0,52;100,00
"312720 FUNILANDIA";13,43;22,97;42,41;20,69;-;0,49;100,00
"312730 GALILEIA";25,11;17,01;34,15;23,56;-;0,18;100,00
"312733 GAMELEIRAS";26,91;25,11;28,87;17,58;0,18;1,35;100,00
"312735 GLAUCILANDIA";11,90;21,88;36,47;28,66;-;1,09;100,00
"312737 GOIABEIRA";23,51;22,57;32,57;21,36;-;-;100,00
"312738 GOIANA";12,23;16,52;35,42;34,68;0,20;0,94;100,00
"312740 GONCALVES";15,83;26,07;36,21;20,72;0,67;0,50;100,00
"312750 GONZAGA";20,52;31,83;29,41;17,03;-;1,20;100,00
"312760 GOUVEIA";9,09;24,86;40,65;24,44;0,12;0,85;100,00
"312770 GOVERNADOR VALADARES";9,06;13,67;34,70;41,98;0,09;0,49;100,00
"312780 GRAO MOGOL";27,44;27,37;26,28;17,39;0,13;1,38;100,00
"312790 GRUPIARA";5,84;16,48;37,55;38,12;0,38;1,63;100,00
"312800 GUANHAES";13,79;22,75;35,43;26,57;0,06;1,40;100,00
"312810 GUAPE";10,88;20,72;40,84;27,22;0,10;0,25;100,00
"312820 GUARACIABA";19,35;33,81;29,10;16,99;0,21;0,53;100,00
"312825 GUARACIAMA";14,92;25,76;35,20;23,85;-;0,27;100,00
"312830 GUARANESIA";13,08;21,77;35,30;29,25;0,31;0,29;100,00
"312840 GUARANI";11,18;17,90;42,39;27,93;0,16;0,43;100,00
"312850 GUARARA";10,85;18,89;42,72;27,00;-;0,53;100,00
"312860 GUARDA-MOR";9,59;23,32;40,53;26,17;0,15;0,24;100,00
"312870 GUAXUPE";9,72;15,35;35,67;38,70;0,15;0,41;100,00
"312880 GUIDOVAL";13,07;20,24;41,50;24,13;0,09;0,96;100,00
"312890 GUIMARANIA";10,06;20,76;40,17;28,34;0,26;0,41;100,00
"312900 GUIRICEMA";16,14;23,45;38,33;21,33;0,11;0,64;100,00
"312910 GURINHATA";12,70;23,80;36,68;26,47;0,35;-;100,00
"312920 HELIODORA";20,21;16,10;38,92;24,47;-;0,30;100,00
"312930 IAPU";14,99;24,49;37,42;22,14;0,23;0,73;100,00
"312940 IBERTIOGA";15,00;21,61;41,63;20,67;0,32;0,78;100,00
"312950 IBIA";10,16;13,20;42,99;33,05;0,08;0,52;100,00
"312960 IBIAI";21,75;27,62;28,13;21,37;-;1,13;100,00
"312965 IBIRACATU";34,85;25,33;24,17;13,10;0,20;2,36;100,00
"312970 IBIRACI";12,20;18,37;39,31;30,01;0,04;0,07;100,00
"312980 IBIRITE";8,50;15,71;44,17;30,67;0,10;0,85;100,00
"312990 IBITIURA DE MINAS";13,50;16,97;42,48;24,43;0,69;1,93;100,00
"313000 IBITURUNA";9,29;19,56;39,96;30,88;-;0,31;100,00
"313005 ICARAI DE MINAS";17,99;29,93;32,90;17,90;0,04;1,24;100,00
"313010 IGARAPE";10,37;19,74;41,84;27,52;0,07;0,47;100,00
"313020 IGARATINGA";6,98;20,97;49,05;22,24;0,11;0,65;100,00
"313030 IGUATAMA";6,35;16,37;43,40;33,38;0,08;0,43;100,00
"313040 IJACI";10,64;18,33;46,32;24,55;-;0,16;100,00
"313050 ILICINEA";11,28;22,05;40,26;25,61;0,12;0,69;100,00
"313055 IMBE DE MINAS";16,43;28,10;41,40;12,36;-;1,71;100,00
"313060 INCONFIDENTES";13,17;19,14;43,37;23,31;0,12;0,88;100,00
"313065 INDAIABIRA";38,48;21,91;28,70;9,38;-;1,52;100,00
"313070 INDIANOPOLIS";13,07;21,69;40,11;24,91;-;0,22;100,00
"313080 INGAI";10,23;19,63;38,38;31,36;0,22;0,17;100,00
"313090 INHAPIM";17,21;19,59;37,35;24,63;0,58;0,64;100,00
"313100 INHAUMA";10,37;21,51;39,78;27,74;0,36;0,25;100,00
"313110 INIMUTABA";15,41;24,17;36,96;22,97;0,27;0,20;100,00
"313115 IPABA";15,33;20,35;40,42;23,21;0,05;0,65;100,00
"313120 IPANEMA";18,98;21,14;32,69;26,80;0,11;0,28;100,00
"313130 IPATINGA";6,42;11,69;32,35;48,86;0,05;0,63;100,00
"313140 IPIACU";16,64;17,73;36,40;27,84;0,37;1,01;100,00
"313150 IPUIUNA";12,76;24,64;40,46;21,61;-;0,54;100,00
"313160 IRAI DE MINAS";11,31;25,01;34,99;28,48;0,09;0,12;100,00
"313170 ITABIRA";7,58;15,23;35,03;41,29;0,05;0,81;100,00
"313180 ITABIRINHA";23,05;19,23;34,52;22,52;0,07;0,61;100,00
"313190 ITABIRITO";4,52;12,45;42,78;39,22;0,09;0,93;100,00
"313200 ITACAMBIRA";21,77;24,08;35,74;18,27;-;0,13;100,00
"313210 ITACARAMBI";18,94;28,58;26,86;25,13;-;0,49;100,00
"313220 ITAGUARA";9,09;24,25;41,56;24,78;0,04;0,28;100,00
"313230 ITAIPE";27,17;32,59;25,79;14,04;0,09;0,33;100,00
"313240 ITAJUBA";5,42;10,75;32,46;50,62;0,17;0,57;100,00
"313250 ITAMARANDIBA";23,72;26,28;28,54;19,99;0,13;1,34;100,00
"313260 ITAMARATI DE MINAS";14,32;21,22;38,05;25,07;0,58;0,76;100,00
"313270 ITAMBACURI";23,86;23,58;28,90;22,08;0,11;1,46;100,00
"313280 ITAMBE DO MATO DENTRO";19,97;31,24;31,72;15,89;-;1,18;100,00
"313290 ITAMOGI";10,89;22,38;40,36;26,14;0,08;0,16;100,00
"313300 ITAMONTE";7,80;21,62;40,54;29,27;0,11;0,65;100,00
"313310 ITANHANDU";5,49;14,91;39,46;39,48;0,33;0,33;100,00
"313320 ITANHOMI";21,83;21,79;31,50;23,93;0,12;0,83;100,00
"313330 ITAOBIM";21,38;20,93;29,66;27,59;0,19;0,25;100,00
"313340 ITAPAGIPE";10,76;18,05;37,21;33,25;0,14;0,59;100,00
"313350 ITAPECERICA";10,78;15,76;40,73;31,41;0,31;1,01;100,00
"313360 ITAPEVA";15,08;22,99;38,40;21,56;0,07;1,89;100,00
"313370 ITATIAIUCU";10,72;30,52;37,42;20,84;0,18;0,32;100,00
"313375 ITAU DE MINAS";6,79;10,88;40,98;40,96;0,09;0,31;100,00
"313380 ITAUNA";4,85;13,65;40,20;40,08;0,14;1,08;100,00
"313390 ITAVERAVA";17,73;30,78;37,44;13,86;-;0,18;100,00
"313400 ITINGA";21,51;26,63;29,66;19,74;0,86;1,61;100,00
"313410 ITUETA";14,02;21,44;41,70;21,37;-;1,46;100,00
"313420 ITUIUTABA";11,55;15,60;32,89;39,45;0,05;0,46;100,00
"313430 ITUMIRIM";8,16;17,93;37,35;36,20;-;0,37;100,00
"313440 ITURAMA";12,50;15,65;33,00;38,52;0,17;0,16;100,00
"313450 ITUTINGA";11,43;15,82;38,14;34,22;0,23;0,17;100,00
"313460 JABOTICATUBAS";11,88;28,07;38,15;21,52;0,09;0,29;100,00
"313470 JACINTO";27,97;26,08;28,85;16,47;0,16;0,47;100,00
"313480 JACUI";13,06;20,71;40,40;25,30;0,07;0,46;100,00
"313490 JACUTINGA";10,99;16,45;39,34;32,48;0,42;0,33;100,00
"313500 JAGUARACU";15,09;18,54;41,17;23,80;-;1,41;100,00
"313505 JAIBA";24,11;21,94;33,29;20,21;0,05;0,42;100,00
"313507 JAMPRUCA";30,73;25,66;26,20;17,41;-;-;100,00
"313510 JANAUBA";16,69;18,80;30,46;33,55;0,08;0,42;100,00
"313520 JANUARIA";16,58;22,36;29,36;30,68;0,08;0,93;100,00
"313530 JAPARAIBA";9,47;12,35;30,96;46,24;0,53;0,45;100,00
"313535 JAPONVAR";27,09;27,73;28,47;14,18;0,24;2,29;100,00
"313540 JECEABA";6,88;32,37;37,42;23,12;0,22;-;100,00
"313545 JENIPAPO DE MINAS";27,59;30,49;25,82;15,69;-;0,40;100,00
"313550 JEQUERI";18,58;28,49;34,20;17,19;0,14;1,40;100,00
"313560 JEQUITAI";19,99;26,12;31,86;21,60;-;0,44;100,00
"313570 JEQUITIBA";15,74;25,20;38,79;18,76;0,22;1,29;100,00
"313580 JEQUITINHONHA";28,34;21,57;26,74;21,00;0,40;1,94;100,00
"313590 JESUANIA";15,01;18,46;36,51;29,62;0,14;0,26;100,00
"313600 JOAIMA";34,03;20,01;29,10;16,70;0,16;-;100,00
"313610 JOANESIA";16,03;28,50;37,88;17,60;-;-;100,00
"313620 JOAO MONLEVADE";5,02;12,40;37,02;44,71;0,03;0,82;100,00
"313630 JOAO PINHEIRO";15,22;19,16;33,09;31,80;0,10;0,63;100,00
"313640 JOAQUIM FELICIO";17,51;24,37;34,58;21,87;0,20;1,45;100,00
"313650 JORDANIA";25,43;25,30;30,87;18,21;-;0,18;100,00
"313652 JOSE GONCALVES DE MINAS";22,01;35,64;27,70;14,32;-;0,33;100,00
"313655 JOSE RAYDAN";23,54;33,00;28,23;15,24;-;-;100,00
"313657 JOSENOPOLIS";34,81;30,02;25,71;9,06;-;0,40;100,00
"313660 NOVA UNIAO";16,08;24,36;34,68;23,48;-;1,40;100,00
"313665 JUATUBA";10,45;14,51;36,85;37,41;0,17;0,61;100,00
"313670 JUIZ DE FORA";4,24;8,88;34,18;52,18;0,08;0,44;100,00
"313680 JURAMENTO";15,80;20,72;32,93;30,36;-;0,19;100,00
"313690 JURUAIA";9,66;24,63;42,24;22,42;0,23;0,83;100,00
"313695 JUVENILIA";23,43;24,30;29,60;21,71;0,60;0,36;100,00
"313700 LADAINHA";28,88;34,73;22,61;12,42;0,11;1,26;100,00
"313710 LAGAMAR";11,93;15,86;35,01;34,15;0,72;2,34;100,00
"313720 LAGOA DA PRATA";8,15;15,69;43,19;31,97;0,22;0,77;100,00
"313730 LAGOA DOS PATOS";19,51;28,57;29,19;21,93;0,14;0,66;100,00
"313740 LAGOA DOURADA";7,63;27,24;45,12;19,17;0,37;0,48;100,00
"313750 LAGOA FORMOSA";11,18;19,24;41,78;26,54;0,22;1,04;100,00
"313753 LAGOA GRANDE";13,21;19,82;40,21;26,52;-;0,25;100,00
"313760 LAGOA SANTA";6,29;12,55;34,41;46,07;0,10;0,58;100,00
"313770 LAJINHA";18,69;21,52;34,61;24,22;0,15;0,81;100,00
"313780 LAMBARI";7,72;17,85;40,05;33,26;0,46;0,66;100,00
"313790 LAMIM";11,88;29,60;39,92;17,95;0,38;0,27;100,00
"313800 LARANJAL";12,97;20,97;35,46;30,56;-;0,04;100,00
"313810 LASSANCE";15,06;27,06;36,56;19,77;-;1,55;100,00
"313820 LAVRAS";5,53;11,37;38,20;44,52;0,03;0,34;100,00
"313830 LEANDRO FERREIRA";13,49;26,13;35,74;23,91;-;0,73;100,00
"313835 LEME DO PRADO";19,73;21,75;35,17;22,35;-;1,00;100,00
"313840 LEOPOLDINA";9,50;14,30;41,43;34,03;0,07;0,67;100,00
"313850 LIBERDADE";19,84;17,62;38,18;23,92;-;0,44;100,00
"313860 LIMA DUARTE";10,66;21,15;38,00;29,19;0,54;0,46;100,00
"313862 LIMEIRA DO OESTE";17,83;18,66;38,00;25,41;-;0,09;100,00
"313865 LONTRA";24,75;20,94;27,04;20,11;0,26;6,91;100,00
"313867 LUISBURGO";19,93;29,91;36,67;12,36;0,12;1,01;100,00
"313868 LUISLANDIA";23,29;26,95;34,09;13,14;0,36;2,18;100,00
"313870 LUMINARIAS";8,30;25,36;39,66;26,21;0,18;0,30;100,00
"313880 LUZ";8,35;17,43;37,52;34,70;0,16;1,85;100,00
"313890 MACHACALIS";27,96;22,20;28,44;21,13;0,17;0,10;100,00
"313900 MACHADO";9,40;17,64;37,58;34,77;0,16;0,46;100,00
"313910 MADRE DE DEUS DE MINAS";8,08;19,77;36,38;35,38;-;0,38;100,00
"313920 MALACACHETA";29,29;20,59;26,44;22,56;0,09;1,03;100,00
"313925 MAMONAS";28,04;32,29;25,23;12,38;0,57;1,48;100,00
"313930 MANGA";21,57;29,54;28,59;19,93;-;0,37;100,00
"313940 MANHUACU";12,07;16,83;39,07;31,53;0,02;0,48;100,00
"313950 MANHUMIRIM";15,18;16,02;39,50;29,02;0,08;0,21;100,00
"313960 MANTENA";19,51;18,83;32,19;28,02;0,05;1,40;100,00
"313970 MARAVILHAS";7,03;19,38;49,68;23,50;0,14;0,27;100,00
"313980 MAR DE ESPANHA";9,97;18,85;36,31;34,23;0,17;0,47;100,00
"313990 MARIA DA FE";7,58;26,06;41,41;23,81;0,13;1,02;100,00
"314000 MARIANA";8,55;17,39;35,78;37,77;0,03;0,48;100,00
"314010 MARILAC";27,12;19,16;27,15;21,80;0,21;4,57;100,00
"314015 MARIO CAMPOS";13,63;18,50;39,33;28,14;0,09;0,31;100,00
"314020 MARIPA DE MINAS";13,37;21,44;39,71;23,66;0,10;1,72;100,00
"314030 MARLIERIA";11,58;25,50;36,66;25,92;-;0,35;100,00
"314040 MARMELOPOLIS";11,39;25,10;43,99;18,71;0,40;0,40;100,00
"314050 MARTINHO CAMPOS";9,36;19,97;43,82;26,05;0,44;0,36;100,00
"314053 MARTINS SOARES";18,11;21,44;37,06;22,85;0,23;0,31;100,00
"314055 MATA VERDE";36,59;26,51;23,66;13,23;-;-;100,00
"314060 MATERLANDIA";25,74;26,36;29,18;18,44;0,12;0,16;100,00
"314070 MATEUS LEME";9,95;16,89;37,13;34,75;0,18;1,09;100,00
"314080 MATIAS BARBOSA";7,15;15,29;42,94;34,05;0,22;0,36;100,00
"314085 MATIAS CARDOSO";28,39;25,13;29,74;15,81;0,22;0,72;100,00
"314090 MATIPO";17,33;22,26;39,96;20,04;0,13;0,28;100,00
"314100 MATO VERDE";21,36;22,73;33,88;21,38;-;0,65;100,00
"314110 MATOZINHOS";6,84;14,00;37,12;41,53;0,20;0,31;100,00
"314120 MATUTINA";14,41;17,15;47,31;19,55;0,07;1,51;100,00
"314130 MEDEIROS";10,10;13,93;48,25;27,04;-;0,68;100,00
"314140 MEDINA";25,26;23,14;30,15;21,02;-;0,42;100,00
"314150 MENDES PIMENTEL";28,89;21,56;32,51;16,29;0,13;0,62;100,00
"314160 MERCES";16,24;22,34;37,46;23,05;0,07;0,85;100,00
"314170 MESQUITA";16,47;30,08;30,92;22,40;-;0,12;100,00
"314180 MINAS NOVAS";28,37;29,51;26,78;14,23;0,06;1,06;100,00
"314190 MINDURI";11,43;19,17;37,04;31,92;-;0,44;100,00
"314200 MIRABELA";18,64;24,18;30,84;25,22;0,26;0,87;100,00
"314210 MIRADOURO";18,56;22,71;36,32;21,76;0,23;0,42;100,00
"314220 MIRAI";17,15;21,68;35,22;25,65;-;0,29;100,00
"314225 MIRAVANIA";30,77;25,69;28,08;15,02;-;0,44;100,00
"314230 MOEDA";10,93;26,48;40,60;20,84;0,06;1,08;100,00
"314240 MOEMA";7,92;21,63;36,78;33,30;-;0,38;100,00
"314250 MONJOLOS";19,06;25,04;28,21;27,57;-;0,12;100,00
"314260 MONSENHOR PAULO";13,67;17,56;33,90;34,43;-;0,43;100,00
"314270 MONTALVANIA";28,10;19,46;27,03;24,77;-;0,64;100,00
"314280 MONTE ALEGRE DE MINAS";11,71;21,57;38,78;26,92;0,12;0,90;100,00
"314290 MONTE AZUL";23,74;21,74;29,49;22,55;0,60;1,88;100,00
"314300 MONTE BELO";13,72;22,41;39,61;23,65;0,20;0,41;100,00
"314310 MONTE CARMELO";9,28;17,95;41,08;31,29;0,09;0,31;100,00
"314315 MONTE FORMOSO";34,78;25,40;28,47;10,36;0,46;0,53;100,00
"314320 MONTE SANTO DE MINAS";13,27;18,28;35,99;32,08;-;0,38;100,00
"314330 MONTES CLAROS";8,31;12,87;30,11;48,07;0,11;0,52;100,00
"314340 MONTE SIAO";10,50;16,86;41,67;30,23;0,51;0,24;100,00
"314345 MONTEZUMA";27,30;32,05;27,90;11,29;-;1,47;100,00
"314350 MORADA NOVA DE MINAS";10,01;25,85;41,70;22,20;0,09;0,15;100,00
"314360 MORRO DA GARCA";11,94;26,90;42,35;18,27;0,24;0,29;100,00
"314370 MORRO DO PILAR";20,61;25,27;28,84;24,97;0,30;-;100,00
"314380 MUNHOZ";17,44;25,36;36,77;19,46;0,13;0,84;100,00
"314390 MURIAE";10,73;15,77;37,39;35,53;0,05;0,52;100,00
"314400 MUTUM";22,76;21,60;30,82;23,35;0,11;1,38;100,00
"314410 MUZAMBINHO";8,23;16,85;36,69;37,49;0,26;0,48;100,00
"314420 NACIP RAYDAN";25,68;26,69;30,62;16,20;-;0,81;100,00
"314430 NANUQUE";18,01;15,70;32,63;33,13;0,14;0,39;100,00
"314435 NAQUE";14,37;22,68;35,98;26,78;-;0,19;100,00
"314437 NATALANDIA";14,52;27,07;33,94;23,59;-;0,87;100,00
"314440 NATERCIA";10,77;24,27;31,28;33,37;0,11;0,20;100,00
"314450 NAZARENO";10,23;18,72;38,40;31,48;-;1,17;100,00
"314460 NEPOMUCENO";10,83;22,45;40,02;25,76;0,28;0,65;100,00
"314465 NINHEIRA";42,21;24,72;24,61;8,09;-;0,37;100,00
"314467 NOVA BELEM";23,64;27,47;33,74;14,61;-;0,54;100,00
