"municipality","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Total"
"291030 ELISIO MEDRADO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291050 ENTRE RIOS",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
"291060 ESPLANADA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291072 EUNAPOLIS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
"291080 FEIRA DE SANTANA",9,1,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,25
"291085 FILADELFIA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"291120 GANDU",-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,5
"291140 GLORIA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291160 GOVERNADOR MANGABEIRA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291185 HELIOPOLIS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291290 IBIRATAIA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291320 IBOTIRAMA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291340 IGAPORA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291360 ILHEUS",-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,4
"291390 IPIAU",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"291400 IPIRA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291410 IPUPIARA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"291450 IRARA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"291480 ITABUNA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"291535 ITAGUACU DA BAHIA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291590 ITANAGRA",1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2
"291600 ITANHEM",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291650 ITAPICURU",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"291730 ITUBERA",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"291750 JACOBINA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"291760 JAGUAQUARA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"291800 JEQUIE",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291840 JUAZEIRO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"291870 LAFAIETE COUTINHO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291920 LAURO DE FREITAS",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
"291955 LUIS EDUARDO MAGALHAES",-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2
"292060 MARAGOGIPE",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"292070 MARAU",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"292120 MIGUEL CALMON",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"292150 MONTE SANTO",78,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83
"292200 MUCURI",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"292240 MUTUIPE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"292290 NOVA SOURE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"292300 NOVA VICOSA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"292335 OUROLANDIA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"292340 PALMAS DE MONTE ALTO",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"292350 PALMEIRAS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"292380 PARIPIRANGA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"292400 PAULO AFONSO",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"292430 PIATA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"292467 PIRAI DO NORTE",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"292520 POJUCA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"292530 PORTO SEGURO",2,-,-,-,1,-,-,-,-,-,-,-,3,-,-,-,-,-,6
"292560 PRESIDENTE DUTRA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"292575 PRESIDENTE TANCREDO NEVES",-,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,4
"292590 QUIJINGUE",-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3
"292620 RIACHAO DAS NEVES",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"292660 RIBEIRA DO POMBAL",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"292740 SALVADOR",55,18,2,-,-,-,-,-,-,-,-,-,9,3,-,-,-,-,87
"292830 SANTANOPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"292860 SANTO AMARO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"292870 SANTO ANTONIO DE JESUS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,3
"292900 SAO FELIX",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"292920 SAO FRANCISCO DO CONDE",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"293010 SENHOR DO BONFIM",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"293050 SERRINHA",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"293070 SIMOES FILHO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"293080 SOUTO SOARES",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"293090 TABOCAS DO BREJO VELHO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"293120 TAPEROA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"293150 TEOFILANDIA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"293180 TREMEDAL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"293190 TUCANO",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"293260 URANDI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"293300 VALENTE",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"293310 VARZEA DO POCO",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"293320 VERA CRUZ",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"293330 VITORIA DA CONQUISTA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"293345 WANDERLEY",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"310020 ABAETE",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"310150 ALEM PARAIBA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"310160 ALFENAS",-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"310170 ALMENARA",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"310260 ANDRADAS",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"310270 CACHOEIRA DE PAJEU",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"310350 ARAGUARI",1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3
"310400 ARAXA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"310440 ARGIRITA",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"310530 BANDEIRA DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"310560 BARBACENA",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"310590 BARROSO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"310620 BELO HORIZONTE",12,4,-,-,1,-,1,-,-,-,-,-,60,10,-,-,-,-,88
"310640 BELO VALE",-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2
"310670 BETIM",-,2,-,-,-,-,-,-,-,-,-,-,2,1,-,1,-,-,6
"310730 BOCAIUVA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"310740 BOM DESPACHO",-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,2
"310750 BOM JARDIM DE MINAS",13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
"310830 BORDA DA MATA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"310950 CABO VERDE",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"311030 CALDAS",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"311050 CAMANDUCAIA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"311060 CAMBUI",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"311140 CAMPO FLORIDO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"311220 CAPELA NOVA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"311450 CARMOPOLIS DE MINAS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"311580 CENTRALINA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"311660 CLAUDIO",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"311700 COMERCINHO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"311730 CONCEICAO DAS ALAGOAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"311830 CONSELHEIRO LAFAIETE",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"311860 CONTAGEM",1,1,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,5
"311960 CORONEL PACHECO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"312020 CRISTAIS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"312230 DIVINOPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"312245 DIVISOPOLIS",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"312410 ESMERALDAS",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"312450 ESTIVA",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"312490 EUGENOPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"312560 FELISBURGO",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"312595 FERVEDOURO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"312610 FORMIGA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"312700 FRONTEIRA",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"312710 FRUTAL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"312825 GUARACIAMA",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"312840 GUARANI",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"312860 GUARDA-MOR",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"313080 INGAI",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
"313100 INHAUMA",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"313130 IPATINGA",2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3
"313160 IRAI DE MINAS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"313240 ITAJUBA",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"313300 ITAMONTE",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"313360 ITAPEVA",1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2
"313380 ITAUNA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"313440 ITURAMA",-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,3
"313450 ITUTINGA",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2
"313650 JORDANIA",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"313670 JUIZ DE FORA",56,-,-,-,-,-,-,-,-,-,-,-,7,2,-,-,-,-,65
"313760 LAGOA SANTA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"313820 LAVRAS",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3
"313860 LIMA DUARTE",-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2
"313862 LIMEIRA DO OESTE",-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,2
"313940 MANHUACU",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"314000 MARIANA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"314080 MATIAS BARBOSA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"314120 MATUTINA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"314160 MERCES",1,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,-,-,5
"314220 MIRAI",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"314225 MIRAVANIA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"314280 MONTE ALEGRE DE MINAS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"314300 MONTE BELO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"314330 MONTES CLAROS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"314390 MURIAE",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,3
"314450 NAZARENO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"314480 NOVA LIMA",-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,8
"314500 NOVA PONTE",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"314520 NOVA SERRANA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"314535 NOVO ORIENTE DE MINAS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"314590 OURO BRANCO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"314690 PAPAGAIOS",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"314700 PARACATU",28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28
"314710 PARA DE MINAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"314730 PARAISOPOLIS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"314760 PASSA QUATRO",-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,2
"314790 PASSOS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"314800 PATOS DE MINAS",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"314810 PATROCINIO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"314840 PAULISTAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"314890 PEDRA DO INDAIA",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"314910 PEDRALVA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"314930 PEDRO LEOPOLDO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"315090 PIRANGUCU",-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2
"315120 PIRAPORA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"315150 PIUMHI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"315170 POCO FUNDO",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"315180 POCOS DE CALDAS",3,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,5
"315200 POMPEU",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"315210 PONTE NOVA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"315250 POUSO ALEGRE",11,1,-,-,-,-,-,-,-,-,1,-,6,-,-,-,-,-,19
"315460 RIBEIRAO DAS NEVES",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"315480 RIO ACIMA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"315580 RIO POMBA",3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4
"315600 RIO VERMELHO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"315690 SACRAMENTO",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
"315720 SANTA BARBARA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"315727 SANTA BARBARA DO MONTE VERDE",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"315733 SANTA CRUZ DE MINAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"315780 SANTA LUZIA",-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,2
"315790 SANTA MARGARIDA",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
"315870 SANTANA DO GARAMBEU",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"315930 SANTA RITA DE JACUTINGA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"315990 SANTO ANTONIO DO AMPARO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"316070 SANTOS DUMONT",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"316120 SAO FRANCISCO DE PAULA",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"316130 SAO FRANCISCO DE SALES",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"316250 SAO JOAO DEL REI",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"316370 SAO LOURENCO",4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,5
"316390 SAO PEDRO DA UNIAO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"316470 SAO SEBASTIAO DO PARAISO",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"316650 SERRA AZUL DE MINAS",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"316720 SETE LAGOAS",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"316860 TEOFILO OTONI",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
"316910 TOLEDO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"316940 TRES PONTAS",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"316990 UBA",5,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,7
"317020 UBERLANDIA",7,-,-,-,-,-,-,1,2,-,-,-,26,-,-,1,-,-,37
"317040 UNAI",9,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,10
"317070 VARGINHA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"317120 VESPASIANO",-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,3
"317130 VICOSA",15,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,17
"317180 VIRGINOPOLIS",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"317190 VIRGOLANDIA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"317200 VISCONDE DO RIO BRANCO",-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,2
"320020 ALEGRE",2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3
"320040 ANCHIETA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320050 APIACA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320120 CACHOEIRO DE ITAPEMIRIM",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320130 CARIACICA",3,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,5
"320150 COLATINA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"320160 CONCEICAO DA BARRA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320210 ECOPORANGA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"320240 GUARAPARI",5,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6
"320270 ITAGUACU",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"320320 LINHARES",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320380 MUQUI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320420 PIUMA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320455 SANTA MARIA DE JETIBA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320460 SANTA TERESA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320490 SAO MATEUS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320495 SAO ROQUE DO CANAA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320500 SERRA",9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
"320503 VARGEM ALTA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"320510 VIANA",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"320520 VILA VELHA",16,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17
"320530 VITORIA",28,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,30
"330010 ANGRA DOS REIS",36,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,39
"330020 ARARUAMA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"330023 ARMACAO DOS BUZIOS",1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
"330025 ARRAIAL DO CABO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"330030 BARRA DO PIRAI",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"330040 BARRA MANSA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"330045 BELFORD ROXO",47,2,-,-,-,-,-,-,-,-,-,-,5,33,-,-,-,-,87
"330060 BOM JESUS DO ITABAPOANA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"330070 CABO FRIO",1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
"330080 CACHOEIRAS DE MACACU",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"330095 COMENDADOR LEVY GASPARIAN",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"330100 CAMPOS DOS GOYTACAZES",2,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,6
"330110 CANTAGALO",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"330120 CARMO",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"330130 CASIMIRO DE ABREU",1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3
"330150 CORDEIRO",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"330170 DUQUE DE CAXIAS",23,2,9,-,-,-,-,-,-,-,-,2,219,163,-,-,-,-,418
"330187 IGUABA GRANDE",7,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,9
"330190 ITABORAI",6,-,-,-,-,-,-,-,-,-,-,-,6,2,-,-,-,-,14
"330200 ITAGUAI",12,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,17
"330220 ITAPERUNA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,3
"330240 MACAE",6,2,-,-,-,-,-,-,-,-,1,-,2,8,-,-,-,-,19
"330250 MAGE",-,3,-,-,-,-,-,-,-,-,-,-,27,13,-,1,-,-,44
"330260 MANGARATIBA",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"330270 MARICA",2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"330280 MENDES",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"330285 MESQUITA",5,5,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,16
"330290 MIGUEL PEREIRA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"330320 NILOPOLIS",1,-,-,-,-,-,-,-,-,-,-,-,1,22,-,-,-,-,24
"330330 NITEROI",89,-,1,-,-,-,-,-,-,-,-,1,18,94,-,-,-,-,203
"330340 NOVA FRIBURGO",5,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,42
"330350 NOVA IGUACU",11,-,-,-,-,-,-,-,-,-,-,-,17,97,-,-,-,-,125
"330360 PARACAMBI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"330380 PARATY",-,-,-,-,-,-,-,-,-,-,-,-,13,1,-,-,-,-,14
"330385 PATY DO ALFERES",-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
"330390 PETROPOLIS",14,-,-,-,-,-,-,-,-,-,-,-,4,11,-,-,-,-,29
"330411 PORTO REAL",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"330412 QUATIS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"330414 QUEIMADOS",-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,23
