"municipality","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Total"
"150720 SAO DOMINGOS DO CAPIM",1,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,38
"150747 SAO JOAO DE PIRABAS",-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,9
"150750 SAO JOAO DO ARAGUAIA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"150760 SAO MIGUEL DO GUAMA",-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,10
"150770 SAO SEBASTIAO DA BOA VISTA",-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,30
"150780 SENADOR JOSE PORFIRIO",-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,19
"150790 SOURE",-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,9
"150795 TAILANDIA",-,-,-,-,-,-,-,-,-,-,-,-,-,88,-,-,-,-,88
"150796 TERRA ALTA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"150797 TERRA SANTA",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"150800 TOME-ACU",-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,5
"150803 TRACUATEUA",-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,20
"150808 TUCUMA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
"150810 TUCURUI",-,3,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,9
"150812 ULIANOPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3
"150815 URUARA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"150820 VIGIA",-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,-,-,-,5
"150830 VISEU",-,-,-,-,-,-,-,-,-,-,-,-,1,57,-,-,-,-,58
"160015 PEDRA BRANCA DO AMAPARI",-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2
