 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:1991
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Não determinada";"Total"
"150400 LIMOEIRO DO AJURU";22,85;49,77;22,09;4,85;0,44;100,00
"150405 MAE DO RIO";29,28;29,76;23,66;17,30;-;100,00
"150410 MAGALHAES BARATA";16,77;40,74;33,87;8,63;-;100,00
"150420 MARABA";23,69;22,86;30,76;22,66;0,03;100,00
"150430 MARACANA";19,18;39,93;32,53;8,25;0,11;100,00
"150440 MARAPANIM";15,63;37,68;35,91;10,78;-;100,00
"150445 MEDICILANDIA";30,36;29,21;32,05;8,38;-;100,00
"150450 MELGACO";76,77;16,92;4,91;1,40;-;100,00
"150460 MOCAJUBA";18,33;42,09;25,98;13,61;-;100,00
"150470 MOJU";43,81;34,40;15,81;5,99;-;100,00
"150480 MONTE ALEGRE";22,45;33,52;32,72;11,28;0,02;100,00
"150490 MUANA";27,85;43,13;22,48;6,44;0,09;100,00
"150500 NOVA TIMBOTEUA";30,75;27,93;26,57;14,75;-;100,00
"150510 OBIDOS";22,58;36,50;27,79;13,14;-;100,00
"150520 OEIRAS DO PARA";38,14;37,36;17,69;6,51;0,31;100,00
"150530 ORIXIMINA";19,29;33,89;29,11;17,70;-;100,00
"150540 OUREM";40,32;29,99;22,45;7,23;-;100,00
"150543 OURILANDIA DO NORTE";29,94;35,20;28,27;6,53;0,05;100,00
"150548 PACAJA";51,54;23,57;18,34;6,56;-;100,00
"150550 PARAGOMINAS";37,45;25,82;26,51;10,13;0,08;100,00
"150553 PARAUAPEBAS";26,47;21,99;30,00;21,32;0,22;100,00
"150560 PEIXE-BOI";27,85;30,17;27,61;14,36;-;100,00
"150570 PONTA DE PEDRAS";26,63;37,75;26,46;9,16;-;100,00
"150580 PORTEL";65,35;17,24;13,21;4,20;-;100,00
"150590 PORTO DE MOZ";53,10;30,71;13,42;2,77;-;100,00
"150600 PRAINHA";31,76;40,78;23,70;3,76;-;100,00
"150610 PRIMAVERA";33,15;31,12;29,18;6,54;-;100,00
"150613 REDENCAO";25,81;26,02;34,84;13,18;0,14;100,00
"150616 RIO MARIA";37,04;27,12;28,13;7,45;0,27;100,00
"150618 RONDON DO PARA";32,03;26,60;29,72;11,55;0,11;100,00
"150619 RUROPOLIS";38,05;33,00;22,66;6,26;0,03;100,00
"150620 SALINOPOLIS";17,97;30,38;34,56;17,10;-;100,00
"150630 SALVATERRA";18,30;33,71;34,98;13,00;-;100,00
"150640 SANTA CRUZ DO ARARI";33,00;36,28;25,62;4,74;0,37;100,00
"150650 SANTA IZABEL DO PARA";18,47;28,53;28,56;24,37;0,07;100,00
"150658 SANTA MARIA DAS BARREIRAS";33,40;26,72;29,97;9,91;-;100,00
"150660 SANTA MARIA DO PARA";27,44;34,30;25,19;13,07;-;100,00
"150670 SANTANA DO ARAGUAIA";35,66;25,66;27,36;11,20;0,12;100,00
"150680 SANTAREM";16,17;24,20;36,63;22,83;0,18;100,00
"150690 SANTAREM NOVO";24,96;40,17;24,73;10,14;-;100,00
"150700 SANTO ANTONIO DO TAUA";23,44;30,94;29,07;16,55;-;100,00
"150710 SAO CAETANO DE ODIVELAS";18,13;38,97;34,93;7,98;-;100,00
"150720 SAO DOMINGOS DO CAPIM";39,75;34,38;20,54;5,32;-;100,00
"150730 SAO FELIX DO XINGU";32,98;31,01;26,63;9,38;-;100,00
"150740 SAO FRANCISCO DO PARA";20,82;33,40;31,03;14,75;-;100,00
"150745 SAO GERALDO DO ARAGUAIA";44,77;27,54;22,70;4,98;-;100,00
"150747 SAO JOAO DE PIRABAS";30,92;40,60;23,50;4,95;0,03;100,00
"150750 SAO JOAO DO ARAGUAIA";45,32;28,49;20,57;5,62;-;100,00
"150760 SAO MIGUEL DO GUAMA";28,70;34,32;25,78;10,89;0,31;100,00
"150770 SAO SEBASTIAO DA BOA VISTA";29,34;38,11;24,34;8,21;-;100,00
"150780 SENADOR JOSE PORFIRIO";47,78;28,38;20,13;3,68;0,03;100,00
"150790 SOURE";17,23;25,08;40,53;17,05;0,11;100,00
"150795 TAILANDIA";31,34;34,22;24,59;9,85;-;100,00
"150800 TOME-ACU";25,96;34,77;26,47;12,64;0,16;100,00
"150808 TUCUMA";32,27;30,00;30,14;7,59;-;100,00
"150810 TUCURUI";25,39;26,63;31,14;16,56;0,27;100,00
"150815 URUARA";33,69;34,00;24,71;7,33;0,26;100,00
"150820 VIGIA";20,78;25,80;37,73;15,69;-;100,00
"150830 VISEU";40,21;36,95;18,64;4,20;-;100,00
"150840 XINGUARA";28,35;27,22;33,38;10,96;0,10;100,00
"160010 AMAPA";25,95;28,76;31,77;13,52;-;100,00
"160020 CALCOENE";24,40;27,71;39,07;8,81;-;100,00
"160023 FERREIRA GOMES";23,12;27,10;38,53;10,75;0,51;100,00
"160027 LARANJAL DO JARI";33,18;20,93;32,41;13,48;-;100,00
"160030 MACAPA";15,29;12,36;35,06;36,94;0,35;100,00
"160040 MAZAGAO";53,35;15,80;17,85;11,99;1,00;100,00
"160050 OIAPOQUE";19,32;27,37;33,64;19,40;0,27;100,00
"160060 SANTANA";24,98;17,66;34,49;22,45;0,41;100,00
"160070 TARTARUGALZINHO";33,74;33,83;22,89;9,54;-;100,00
"170035 ALIANCA DO TOCANTINS";26,53;23,03;34,75;15,70;-;100,00
"170040 ALMAS";41,78;29,85;20,72;7,65;-;100,00
"170070 ALVORADA";21,07;22,48;35,02;21,43;-;100,00
"170100 ANANAS";40,95;25,47;27,81;5,71;0,06;100,00
"170110 APARECIDA DO RIO NEGRO";32,21;26,54;28,96;12,29;-;100,00
"170190 ARAGUACEMA";34,45;32,63;21,71;11,21;-;100,00
"170200 ARAGUACU";27,29;31,05;29,32;12,34;-;100,00
"170210 ARAGUAINA";23,07;20,76;32,48;23,65;0,03;100,00
"170220 ARAGUATINS";40,33;24,06;25,94;9,67;-;100,00
"170230 ARAPOEMA";33,96;27,37;28,84;9,84;-;100,00
"170240 ARRAIAS";47,48;18,25;23,22;10,90;0,15;100,00
"170255 AUGUSTINOPOLIS";46,24;23,59;21,25;8,92;-;100,00
"170270 AURORA DO TOCANTINS";32,72;26,60;30,67;10,00;-;100,00
"170290 AXIXA DO TOCANTINS";56,05;17,40;18,03;8,51;-;100,00
"170300 BABACULANDIA";40,61;27,53;25,59;6,27;-;100,00
"170310 BARROLANDIA";42,98;18,84;27,47;10,42;0,28;100,00
"170320 BERNARDO SAYAO";30,63;31,53;29,96;7,88;-;100,00
"170370 BREJINHO DE NAZARE";29,92;33,00;26,71;10,37;-;100,00
"170380 BURITI DO TOCANTINS";57,00;13,39;19,66;9,94;-;100,00
"170390 CASEARA";26,43;30,80;30,54;12,23;-;100,00
"170550 COLINAS DO TOCANTINS";25,35;23,78;33,67;17,21;-;100,00
"170555 COMBINADO";28,77;29,15;32,95;9,13;-;100,00
"170560 CONCEICAO DO TOCANTINS";36,80;34,09;21,49;7,62;-;100,00
"170600 COUTO MAGALHAES";34,57;25,53;31,49;8,41;-;100,00
"170610 CRISTALANDIA";31,77;26,54;26,95;14,74;-;100,00
"170700 DIANOPOLIS";29,47;27,85;29,42;13,15;0,10;100,00
"170710 DIVINOPOLIS DO TOCANTINS";32,87;27,00;30,26;9,87;-;100,00
"170720 DOIS IRMAOS DO TOCANTINS";26,47;36,25;30,57;6,71;-;100,00
"170730 DUERE";31,07;25,41;30,75;12,76;-;100,00
"170755 FATIMA";16,14;33,92;30,27;19,53;0,15;100,00
"170765 FIGUEIROPOLIS";23,89;28,41;32,45;15,25;-;100,00
"170770 FILADELFIA";40,26;31,38;21,64;6,72;-;100,00
"170820 FORMOSO DO ARAGUAIA";27,23;27,07;31,84;13,86;-;100,00
"170830 GOIANORTE";24,82;33,19;33,46;8,53;-;100,00
"170900 GOIATINS";46,15;24,48;23,34;6,03;-;100,00
"170930 GUARAI";23,60;23,56;34,75;17,95;0,15;100,00
"170950 GURUPI";15,42;18,30;35,10;31,07;0,12;100,00
"171050 ITACAJA";38,58;33,20;21,13;7,09;-;100,00
"171070 ITAGUATINS";48,14;22,64;22,64;6,58;-;100,00
"171110 ITAPORA DO TOCANTINS";26,51;33,41;30,01;10,07;-;100,00
"171240 LIZARDA";31,01;36,57;19,42;13,01;-;100,00
"171250 MARIANOPOLIS DO TOCANTINS";29,40;25,73;31,74;13,12;-;100,00
"171320 MIRACEMA DO TOCANTINS";27,67;21,18;27,38;23,76;-;100,00
"171330 MIRANORTE";23,12;25,05;33,85;17,98;-;100,00
"171360 MONTE DO CARMO";33,67;33,22;22,20;10,91;-;100,00
"171420 NATIVIDADE";37,29;34,41;19,69;8,61;-;100,00
"171430 NAZARE";37,28;29,52;27,82;5,23;0,14;100,00
"171488 NOVA OLINDA";33,38;26,51;29,97;10,14;-;100,00
"171500 NOVA ROSALANDIA";22,88;27,15;38,03;11,78;0,17;100,00
"171510 NOVO ACORDO";50,90;23,72;15,94;9,44;-;100,00
"171575 PALMEIROPOLIS";25,54;26,98;35,06;12,41;-;100,00
"171610 PARAISO DO TOCANTINS";18,95;17,04;35,87;28,07;0,07;100,00
"171620 PARANA";49,46;27,37;16,41;6,71;0,05;100,00
"171650 PEDRO AFONSO";25,53;27,03;32,68;14,77;-;100,00
"171660 PEIXE";32,97;32,21;25,99;8,83;-;100,00
"171665 PEQUIZEIRO";32,81;28,55;29,38;9,26;-;100,00
"171670 COLMEIA";32,48;22,97;32,50;12,06;-;100,00
"171700 PINDORAMA DO TOCANTINS";30,20;35,17;26,00;8,62;-;100,00
"171750 PIUM";30,50;31,94;28,78;8,78;-;100,00
"171780 PONTE ALTA DO BOM JESUS";46,31;27,64;18,17;7,74;0,14;100,00
"171790 PONTE ALTA DO TOCANTINS";38,55;29,16;23,05;9,24;-;100,00
"171800 PORTO ALEGRE DO TOCANTINS";29,56;32,22;24,51;13,71;-;100,00
"171820 PORTO NACIONAL";18,84;21,46;36,93;22,77;-;100,00
"171830 PRAIA NORTE";56,11;24,78;16,32;2,79;-;100,00
