 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:1991
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Não determinada";"Total"
"315300 PRATINHA";17,20;21,12;43,42;18,26;-;100,00
"315310 PRESIDENTE BERNARDES";23,48;41,14;27,55;7,73;0,10;100,00
"315320 PRESIDENTE JUSCELINO";33,74;28,89;28,43;8,94;-;100,00
"315330 PRESIDENTE KUBITSCHEK";18,75;28,69;37,56;14,46;0,54;100,00
"315340 PRESIDENTE OLEGARIO";22,43;22,86;39,48;14,94;0,29;100,00
"315350 ALTO JEQUITIBA";21,88;26,38;36,06;15,68;-;100,00
"315360 PRUDENTE DE MORAIS";13,29;18,78;47,32;20,62;-;100,00
"315370 QUARTEL GERAL";24,38;34,19;31,56;9,86;-;100,00
"315380 QUELUZITO";20,00;29,21;41,13;9,66;-;100,00
"315390 RAPOSOS";11,21;16,36;50,80;21,60;0,03;100,00
"315400 RAUL SOARES";24,41;28,94;31,49;15,03;0,13;100,00
"315410 RECREIO";21,60;19,06;37,84;21,44;0,05;100,00
"315420 RESENDE COSTA";10,24;25,12;49,16;15,48;-;100,00
"315430 RESPLENDOR";28,19;21,24;34,93;15,64;-;100,00
"315440 RESSAQUINHA";20,96;23,06;40,15;15,83;-;100,00
"315450 RIACHO DOS MACHADOS";40,69;34,74;19,64;4,64;0,29;100,00
"315460 RIBEIRAO DAS NEVES";14,49;20,17;49,94;15,35;0,05;100,00
"315470 RIBEIRAO VERMELHO";9,03;15,92;46,71;28,34;-;100,00
"315480 RIO ACIMA";10,75;22,91;51,07;15,27;-;100,00
"315490 RIO CASCA";22,65;23,30;37,30;16,76;-;100,00
"315500 RIO DOCE";24,01;26,30;34,25;15,44;-;100,00
"315510 RIO DO PRADO";51,84;20,26;17,42;10,44;0,04;100,00
"315520 RIO ESPERA";24,52;31,47;36,92;7,09;-;100,00
"315530 RIO MANSO";25,50;35,54;33,90;4,92;0,13;100,00
"315540 RIO NOVO";18,36;19,57;39,88;22,19;-;100,00
"315550 RIO PARANAIBA";14,75;24,04;47,82;13,28;0,11;100,00
"315560 RIO PARDO DE MINAS";58,69;22,31;13,50;5,50;-;100,00
"315570 RIO PIRACICABA";15,47;29,02;39,49;15,49;0,53;100,00
"315580 RIO POMBA";16,96;20,96;37,76;24,32;-;100,00
"315590 RIO PRETO";19,87;27,23;33,63;19,14;0,12;100,00
"315600 RIO VERMELHO";45,48;22,85;26,20;5,41;0,06;100,00
"315610 RITAPOLIS";15,08;34,19;37,62;12,97;0,12;100,00
"315620 ROCHEDO DE MINAS";36,09;16,84;32,93;14,14;-;100,00
"315630 RODEIRO";19,41;18,40;41,09;21,09;-;100,00
"315640 ROMARIA";12,79;25,04;43,47;18,34;0,35;100,00
"315650 RUBELITA";39,97;35,67;19,99;4,32;0,05;100,00
"315660 RUBIM";38,92;25,60;23,90;11,32;0,26;100,00
"315670 SABARA";10,90;15,11;45,76;28,13;0,09;100,00
"315680 SABINOPOLIS";27,47;23,93;34,30;14,07;0,23;100,00
"315690 SACRAMENTO";14,81;16,17;41,47;27,53;0,02;100,00
"315700 SALINAS";35,43;27,56;26,84;10,17;-;100,00
"315710 SALTO DA DIVISA";45,99;24,64;19,73;9,65;-;100,00
"315720 SANTA BARBARA";13,26;25,69;40,48;20,57;-;100,00
"315730 SANTA BARBARA DO TUGURIO";26,05;30,68;33,60;9,55;0,11;100,00
"315740 SANTA CRUZ DO ESCALVADO";27,96;29,35;34,81;7,88;-;100,00
"315750 SANTA EFIGENIA DE MINAS";33,73;39,94;21,05;5,28;-;100,00
"315760 SANTA FE DE MINAS";38,17;36,09;20,09;5,50;0,15;100,00
"315770 SANTA JULIANA";13,30;21,13;47,58;17,99;-;100,00
"315780 SANTA LUZIA";10,63;17,66;49,29;22,21;0,21;100,00
"315790 SANTA MARGARIDA";22,47;28,02;38,51;11,00;-;100,00
"315800 SANTA MARIA DE ITABIRA";28,11;32,00;26,33;13,29;0,27;100,00
"315810 SANTA MARIA DO SALTO";45,38;23,34;21,85;9,43;-;100,00
"315820 SANTA MARIA DO SUACUI";38,49;29,85;22,81;8,66;0,18;100,00
"315830 SANTANA DA VARGEM";18,69;26,66;37,91;16,74;-;100,00
"315840 SANTANA DE CATAGUASES";18,05;27,91;35,01;19,03;-;100,00
"315850 SANTANA DE PIRAPAMA";22,93;37,13;31,50;8,38;0,07;100,00
"315860 SANTANA DO DESERTO";18,17;25,80;36,17;19,86;-;100,00
"315870 SANTANA DO GARAMBEU";28,37;23,02;39,52;9,10;-;100,00
"315880 SANTANA DO JACARE";28,03;27,75;26,39;17,83;-;100,00
"315890 SANTANA DO MANHUACU";31,48;27,16;31,43;9,94;-;100,00
"315900 SANTANA DO RIACHO";28,46;32,36;31,47;7,70;-;100,00
"315910 SANTANA DOS MONTES";14,89;37,51;38,47;9,13;-;100,00
"315920 SANTA RITA DE CALDAS";17,05;24,71;41,38;16,86;-;100,00
"315930 SANTA RITA DE JACUTINGA";24,41;23,00;36,78;15,80;-;100,00
"315940 SANTA RITA DE IBITIPOCA";33,85;20,52;36,59;9,03;-;100,00
"315950 SANTA RITA DO ITUETO";40,33;19,88;33,14;6,64;-;100,00
"315960 SANTA RITA DO SAPUCAI";15,56;18,79;35,71;29,52;0,41;100,00
"315970 SANTA ROSA DA SERRA";24,49;25,43;36,08;13,99;-;100,00
"315980 SANTA VITORIA";22,49;25,39;35,18;16,94;-;100,00
"315990 SANTO ANTONIO DO AMPARO";19,29;27,70;36,84;16,17;-;100,00
"316000 SANTO ANTONIO DO AVENTUREIRO";23,49;25,96;42,41;8,14;-;100,00
"316010 SANTO ANTONIO DO GRAMA";13,96;35,11;40,35;10,58;-;100,00
"316020 SANTO ANTONIO DO ITAMBE";48,85;26,76;19,99;4,39;-;100,00
"316030 SANTO ANTONIO DO JACINTO";51,76;25,99;18,45;3,81;-;100,00
"316040 SANTO ANTONIO DO MONTE";15,37;21,71;39,49;23,42;-;100,00
"316050 SANTO ANTONIO DO RIO ABAIXO";32,68;32,25;25,63;9,44;-;100,00
"316060 SANTO HIPOLITO";30,99;26,32;33,32;9,37;-;100,00
"316070 SANTOS DUMONT";13,94;17,92;39,04;28,97;0,13;100,00
"316080 SAO BENTO ABADE";22,10;30,21;37,58;10,11;-;100,00
"316090 SAO BRAS DO SUACUI";11,78;23,42;45,50;19,30;-;100,00
"316100 SAO DOMINGOS DO PRATA";12,49;35,17;38,17;14,05;0,12;100,00
"316110 SAO FRANCISCO";36,65;28,09;26,49;8,75;0,02;100,00
"316120 SAO FRANCISCO DE PAULA";24,10;33,05;33,97;8,88;-;100,00
"316130 SAO FRANCISCO DE SALES";21,38;26,07;36,81;15,74;-;100,00
"316140 SAO FRANCISCO DO GLORIA";28,98;20,49;39,40;11,13;-;100,00
"316150 SAO GERALDO";25,61;24,79;37,35;12,16;0,09;100,00
"316160 SAO GERALDO DA PIEDADE";39,99;28,62;26,06;5,34;-;100,00
"316170 SAO GONCALO DO ABAETE";19,67;24,41;42,14;13,78;-;100,00
"316180 SAO GONCALO DO PARA";13,69;28,32;42,34;15,65;-;100,00
"316190 SAO GONCALO DO RIO ABAIXO";21,06;34,23;33,51;11,20;-;100,00
"316200 SAO GONCALO DO SAPUCAI";16,40;23,19;36,09;24,33;-;100,00
"316210 SAO GOTARDO";14,65;21,23;38,76;24,77;0,59;100,00
"316220 SAO JOAO BATISTA DO GLORIA";15,71;26,35;43,53;14,41;-;100,00
"316230 SAO JOAO DA MATA";14,20;27,36;45,00;13,45;-;100,00
"316240 SAO JOAO DA PONTE";52,97;23,32;18,89;4,81;0,02;100,00
"316250 SAO JOAO DEL REI";9,27;16,45;45,02;28,93;0,33;100,00
"316260 SAO JOAO DO ORIENTE";31,92;20,91;34,99;12,17;-;100,00
"316270 SAO JOAO DO PARAISO";68,52;16,62;11,43;3,42;-;100,00
"316280 SAO JOAO EVANGELISTA";23,26;31,60;33,46;11,68;-;100,00
"316290 SAO JOAO NEPOMUCENO";13,23;16,33;41,40;29,04;-;100,00
"316300 SAO JOSE DA SAFIRA";34,21;26,80;25,50;13,49;-;100,00
"316310 SAO JOSE DA VARGINHA";10,02;24,57;51,65;13,77;-;100,00
"316320 SAO JOSE DO ALEGRE";16,14;26,60;43,32;13,95;-;100,00
"316330 SAO JOSE DO DIVINO";38,99;24,35;24,35;12,31;-;100,00
"316340 SAO JOSE DO GOIABAL";20,57;28,58;38,67;12,18;-;100,00
"316350 SAO JOSE DO JACURI";38,17;26,33;28,01;7,49;-;100,00
"316360 SAO JOSE DO MANTIMENTO";33,07;17,25;35,50;14,17;-;100,00
"316370 SAO LOURENCO";9,96;16,66;39,96;33,34;0,07;100,00
"316380 SAO MIGUEL DO ANTA";23,27;28,88;35,87;11,97;-;100,00
"316390 SAO PEDRO DA UNIAO";24,86;32,06;29,88;13,20;-;100,00
"316400 SAO PEDRO DOS FERROS";22,64;28,73;33,74;14,81;0,08;100,00
"316410 SAO PEDRO DO SUACUI";28,91;28,50;36,52;6,07;-;100,00
"316420 SAO ROMAO";31,40;31,72;29,19;7,69;-;100,00
"316430 SAO ROQUE DE MINAS";20,22;28,16;39,25;12,04;0,33;100,00
"316440 SAO SEBASTIAO DA BELA VISTA";23,87;23,09;36,53;16,50;-;100,00
"316450 SAO SEBASTIAO DO MARANHAO";43,67;26,09;23,18;7,06;-;100,00
"316460 SAO SEBASTIAO DO OESTE";14,82;35,80;38,96;10,36;0,06;100,00
"316470 SAO SEBASTIAO DO PARAISO";15,30;20,43;39,73;24,30;0,23;100,00
"316480 SAO SEBASTIAO DO RIO PRETO";30,56;16,36;40,63;12,10;0,35;100,00
"316490 SAO SEBASTIAO DO RIO VERDE";15,33;17,22;43,55;23,90;-;100,00
"316500 SAO TIAGO";18,37;23,70;40,56;17,37;-;100,00
"316510 SAO TOMAS DE AQUINO";22,55;23,84;37,02;16,60;-;100,00
"316520 SAO THOME DAS LETRAS";28,70;31,76;30,88;8,67;-;100,00
"316530 SAO VICENTE DE MINAS";19,31;19,58;30,19;30,91;-;100,00
"316540 SAPUCAI-MIRIM";24,25;34,42;28,14;13,20;-;100,00
"316550 SARDOA";34,49;26,05;29,82;9,65;-;100,00
"316560 SENADOR CORTES";30,85;22,31;34,49;12,34;-;100,00
"316570 SENADOR FIRMINO";19,91;25,87;31,64;22,58;-;100,00
"316580 SENADOR JOSE BENTO";19,05;21,83;37,83;21,29;-;100,00
"316590 SENADOR MODESTINO GONCALVES";40,35;34,54;19,81;5,30;-;100,00
"316600 SENHORA DE OLIVEIRA";20,50;38,30;29,10;12,10;-;100,00
"316610 SENHORA DO PORTO";32,30;33,13;25,75;8,82;-;100,00
"316620 SENHORA DOS REMEDIOS";22,76;29,81;37,59;9,84;-;100,00
"316630 SERICITA";22,50;42,30;23,85;11,35;-;100,00
"316640 SERITINGA";12,95;25,98;34,84;26,24;-;100,00
"316650 SERRA AZUL DE MINAS";47,53;23,35;23,16;5,96;-;100,00
"316660 SERRA DA SAUDADE";12,72;34,45;43,82;9,01;-;100,00
"316670 SERRA DOS AIMORES";31,78;22,29;32,29;13,64;-;100,00
"316680 SERRA DO SALITRE";13,60;30,68;39,65;16,08;-;100,00
"316690 SERRANIA";22,97;29,35;34,92;12,76;-;100,00
"316700 SERRANOS";26,41;32,43;32,64;8,52;-;100,00
"316710 SERRO";27,23;35,00;24,13;13,64;-;100,00
"316720 SETE LAGOAS";9,20;15,66;45,80;29,32;0,03;100,00
"316730 SILVEIRANIA";14,17;27,61;43,08;15,14;-;100,00
"316740 SILVIANOPOLIS";19,97;23,76;37,42;18,85;-;100,00
"316750 SIMAO PEREIRA";18,91;29,77;40,70;10,31;0,31;100,00
"316760 SIMONESIA";27,85;29,89;31,45;10,82;-;100,00
"316770 SOBRALIA";29,74;21,33;37,79;11,14;-;100,00
"316780 SOLEDADE DE MINAS";15,62;30,16;38,11;16,10;-;100,00
"316790 TABULEIRO";26,83;32,08;30,43;10,66;-;100,00
"316800 TAIOBEIRAS";36,95;24,35;26,81;11,88;-;100,00
"316810 TAPIRA";18,81;27,01;36,40;17,58;0,20;100,00
"316820 TAPIRAI";16,89;27,58;40,88;14,65;-;100,00
"316830 TAQUARACU DE MINAS";14,88;32,95;41,01;10,92;0,23;100,00
"316840 TARUMIRIM";33,48;20,75;33,98;11,79;-;100,00
"316850 TEIXEIRAS";20,59;26,08;36,75;16,51;0,06;100,00
"316860 TEOFILO OTONI";25,74;19,45;33,87;20,87;0,07;100,00
"316870 TIMOTEO";9,68;13,31;36,80;40,09;0,12;100,00
"316880 TIRADENTES";14,31;18,88;48,85;17,73;0,22;100,00
"316890 TIROS";19,62;25,90;39,45;15,03;-;100,00
"316900 TOCANTINS";19,63;22,70;40,81;16,85;-;100,00
"316910 TOLEDO";30,18;38,09;25,74;6,00;-;100,00
"316920 TOMBOS";21,35;18,94;36,15;23,56;-;100,00
"316930 TRES CORACOES";13,77;17,91;41,68;26,56;0,08;100,00
"316935 TRES MARIAS";14,43;19,41;43,90;22,13;0,13;100,00
"316940 TRES PONTAS";15,72;24,51;36,64;23,13;-;100,00
"316950 TUMIRITINGA";28,45;27,76;31,85;11,82;0,11;100,00
"316960 TUPACIGUARA";16,05;20,16;43,00;20,80;-;100,00
"316970 TURMALINA";37,03;31,56;23,76;7,66;-;100,00
"316980 TURVOLANDIA";15,83;29,15;40,24;14,78;-;100,00
"316990 UBA";14,57;16,37;44,47;24,47;0,12;100,00
"317000 UBAI";39,63;29,57;23,96;6,84;-;100,00
"317010 UBERABA";9,58;15,40;37,65;37,31;0,06;100,00
"317020 UBERLANDIA";8,24;15,15;38,83;37,73;0,05;100,00
"317030 UMBURATIBA";41,46;21,07;25,47;12,00;-;100,00
"317040 UNAI";20,62;25,69;36,93;16,55;0,21;100,00
"317050 URUCANIA";23,22;30,35;35,90;10,53;-;100,00
"317060 VARGEM BONITA";12,18;33,07;40,36;14,40;-;100,00
"317070 VARGINHA";8,81;14,31;38,51;38,27;0,09;100,00
"317080 VARZEA DA PALMA";22,44;27,73;35,72;14,08;0,03;100,00
"317090 VARZELANDIA";52,72;26,01;16,73;4,36;0,19;100,00
"317100 VAZANTE";13,89;20,56;45,05;20,34;0,16;100,00
"317110 VERISSIMO";21,13;14,25;43,53;21,08;-;100,00
"317120 VESPASIANO";15,87;17,52;44,44;22,03;0,14;100,00
"317130 VICOSA";10,69;18,25;38,86;32,07;0,12;100,00
"317140 VIEIRAS";25,13;19,45;40,54;14,89;-;100,00
"317150 MATHIAS LOBATO";37,59;22,12;25,99;14,30;-;100,00
"317160 VIRGEM DA LAPA";37,86;29,75;23,05;9,34;-;100,00
"317170 VIRGINIA";18,81;31,25;37,71;12,18;0,05;100,00
"317180 VIRGINOPOLIS";20,88;29,26;33,32;16,44;0,11;100,00
"317190 VIRGOLANDIA";31,01;28,21;29,74;11,03;-;100,00
"317200 VISCONDE DO RIO BRANCO";17,50;23,19;38,84;20,44;0,04;100,00
"317210 VOLTA GRANDE";25,99;18,82;34,04;21,14;-;100,00
"317220 WENCESLAU BRAZ";17,63;24,47;41,63;16,27;-;100,00
"320010 AFONSO CLAUDIO";30,51;23,82;32,79;12,86;0,02;100,00
"320013 AGUIA BRANCA";26,47;18,37;38,36;16,79;-;100,00
"320016 AGUA DOCE DO NORTE";31,51;23,35;33,44;11,70;-;100,00
"320020 ALEGRE";23,90;19,58;32,53;23,89;0,09;100,00
"320030 ALFREDO CHAVES";13,95;23,03;40,57;22,45;-;100,00
"320035 ALTO RIO NOVO";35,00;19,88;34,22;10,39;0,51;100,00
"320040 ANCHIETA";16,26;25,58;38,65;19,51;-;100,00
"320050 APIACA";23,97;26,26;34,51;15,26;-;100,00
"320060 ARACRUZ";14,94;20,45;37,12;27,45;0,04;100,00
"320070 ATILIO VIVACQUA";21,96;21,32;40,65;16,07;-;100,00
"320080 BAIXO GUANDU";25,81;18,77;33,95;21,42;0,06;100,00
"320090 BARRA DE SAO FRANCISCO";28,82;20,30;34,44;16,43;-;100,00
"320100 BOA ESPERANCA";22,20;23,42;38,21;16,17;-;100,00
"320110 BOM JESUS DO NORTE";17,30;16,78;34,84;31,07;-;100,00
"320120 CACHOEIRO DE ITAPEMIRIM";13,39;15,96;37,80;32,83;0,01;100,00
"320130 CARIACICA";14,24;17,14;39,44;29,12;0,06;100,00
"320140 CASTELO";17,34;18,78;41,69;22,18;-;100,00
"320150 COLATINA";17,21;15,59;37,75;29,34;0,11;100,00
"320160 CONCEICAO DA BARRA";33,35;18,47;31,07;17,10;-;100,00
"320170 CONCEICAO DO CASTELO";21,50;21,68;41,50;15,32;-;100,00
"320180 DIVINO DE SAO LOURENCO";34,08;21,59;32,29;12,05;-;100,00
"320190 DOMINGOS MARTINS";17,29;23,15;45,59;13,97;-;100,00
"320200 DORES DO RIO PRETO";25,95;25,89;35,28;12,87;-;100,00
"320210 ECOPORANGA";39,22;16,71;28,73;15,33;-;100,00
"320220 FUNDAO";18,78;21,80;35,64;23,77;-;100,00
"320230 GUACUI";26,28;16,51;30,65;26,37;0,19;100,00
"320240 GUARAPARI";13,85;19,49;39,05;27,55;0,05;100,00
"320245 IBATIBA";31,02;23,87;33,00;12,10;-;100,00
"320250 IBIRACU";15,96;20,58;38,26;25,20;-;100,00
"320255 IBITIRAMA";38,43;21,78;28,96;10,47;0,37;100,00
"320260 ICONHA";15,65;17,83;45,23;21,29;-;100,00
"320270 ITAGUACU";19,50;20,00;38,77;21,63;0,10;100,00
"320280 ITAPEMIRIM";22,14;21,29;36,68;19,89;-;100,00
"320290 ITARANA";19,46;18,88;41,29;20,36;-;100,00
"320300 IUNA";27,87;27,98;31,65;12,40;0,09;100,00
"320305 JAGUARE";27,04;21,92;37,32;13,73;-;100,00
"320310 JERONIMO MONTEIRO";22,90;14,53;37,70;24,88;-;100,00
"320313 JOAO NEIVA";16,21;15,69;41,14;26,95;-;100,00
"320316 LARANJA DA TERRA";24,53;23,38;41,76;10,33;-;100,00
"320320 LINHARES";21,07;21,09;36,53;20,84;0,45;100,00
"320330 MANTENOPOLIS";33,75;16,88;34,36;14,74;0,27;100,00
"320335 MARILANDIA";18,45;21,72;41,94;17,89;-;100,00
"320340 MIMOSO DO SUL";26,62;13,88;40,52;18,93;0,05;100,00
"320350 MONTANHA";26,58;22,73;32,60;18,09;-;100,00
"320360 MUCURICI";32,57;20,34;30,62;16,47;-;100,00
"320370 MUNIZ FREIRE";26,26;20,20;38,88;14,67;-;100,00
"320380 MUQUI";23,00;17,83;36,20;22,97;-;100,00
"320390 NOVA VENECIA";23,74;19,73;37,62;18,87;0,05;100,00
"320400 PANCAS";31,38;21,02;35,00;12,60;-;100,00
"320405 PEDRO CANARIO";34,77;18,98;30,32;15,94;-;100,00
"320410 PINHEIROS";30,94;21,69;30,68;16,69;-;100,00
"320420 PIUMA";20,06;20,80;34,26;24,88;-;100,00
"320430 PRESIDENTE KENNEDY";27,49;27,14;35,06;10,31;-;100,00
"320435 RIO BANANAL";19,30;23,30;41,95;15,39;0,06;100,00
"320440 RIO NOVO DO SUL";17,94;23,16;34,02;24,88;-;100,00
"320450 SANTA LEOPOLDINA";21,74;31,36;37,01;9,78;0,10;100,00
"320455 SANTA MARIA DE JETIBA";21,57;26,24;44,03;8,15;-;100,00
"320460 SANTA TERESA";16,95;20,53;43,59;18,86;0,06;100,00
"320470 SAO GABRIEL DA PALHA";20,62;19,80;40,77;18,81;-;100,00
"320480 SAO JOSE DO CALCADO";22,51;21,18;35,43;20,35;0,54;100,00
"320490 SAO MATEUS";21,15;18,40;37,49;22,85;0,10;100,00
"320500 SERRA";12,44;16,45;38,81;32,21;0,10;100,00
"320503 VARGEM ALTA";21,06;22,34;40,86;15,66;0,07;100,00
"320506 VENDA NOVA DO IMIGRANTE";18,84;16,12;44,06;20,94;0,05;100,00
"320510 VIANA";14,97;20,36;42,55;22,12;-;100,00
"320520 VILA VELHA";7,93;11,35;31,60;49,04;0,08;100,00
"320530 VITORIA";7,20;10,39;26,77;55,59;0,05;100,00
"330010 ANGRA DOS REIS";15,03;19,15;37,09;28,70;0,03;100,00
"330020 ARARUAMA";21,06;23,15;34,72;21,07;-;100,00
"330025 ARRAIAL DO CABO";12,81;17,10;40,02;30,01;0,06;100,00
"330030 BARRA DO PIRAI";11,97;16,44;36,55;35,02;0,02;100,00
"330040 BARRA MANSA";11,00;17,05;41,24;30,68;0,03;100,00
"330050 BOM JARDIM";24,72;24,86;31,83;18,60;-;100,00
"330060 BOM JESUS DO ITABAPOANA";17,04;19,80;32,54;30,62;-;100,00
"330070 CABO FRIO";13,12;19,09;37,53;30,23;0,04;100,00
"330080 CACHOEIRAS DE MACACU";22,12;21,31;32,34;24,19;0,03;100,00
"330090 CAMBUCI";25,06;24,37;29,01;21,55;-;100,00
"330100 CAMPOS DOS GOYTACAZES";15,22;20,41;32,34;31,99;0,04;100,00
"330110 CANTAGALO";20,44;21,12;34,08;24,36;-;100,00
"330120 CARMO";22,51;17,69;34,97;24,74;0,09;100,00
"330130 CASIMIRO DE ABREU";21,97;18,98;34,48;24,56;-;100,00
"330140 CONCEICAO DE MACABU";19,76;19,19;32,55;28,50;-;100,00
"330150 CORDEIRO";11,80;16,84;37,77;33,59;-;100,00
"330160 DUAS BARRAS";22,54;32,76;29,16;15,54;-;100,00
"330170 DUQUE DE CAXIAS";11,43;15,30;39,31;33,91;0,05;100,00
"330180 ENGENHEIRO PAULO DE FRONTIN";19,61;15,33;33,63;31,44;-;100,00
"330190 ITABORAI";18,12;22,97;38,82;20,04;0,05;100,00
"330200 ITAGUAI";16,48;16,69;38,14;28,66;0,02;100,00
"330205 ITALVA";23,14;20,78;36,80;19,21;0,07;100,00
"330210 ITAOCARA";20,09;22,70;29,24;27,97;-;100,00
"330220 ITAPERUNA";17,44;20,59;32,78;29,14;0,06;100,00
"330225 ITATIAIA";16,05;16,78;38,77;28,40;-;100,00
"330230 LAJE DO MURIAE";26,23;20,97;31,27;21,52;-;100,00
"330240 MACAE";13,47;17,53;33,04;35,94;0,02;100,00
"330250 MAGE";15,87;19,43;38,83;25,86;0,02;100,00
"330260 MANGARATIBA";15,32;20,66;38,58;25,41;0,03;100,00
"330270 MARICA";16,07;19,62;35,32;28,90;0,09;100,00
"330280 MENDES";14,73;17,65;35,78;31,73;0,11;100,00
"330290 MIGUEL PEREIRA";16,79;16,94;31,32;34,93;0,03;100,00
"330300 MIRACEMA";19,92;17,42;26,00;36,60;0,06;100,00
"330310 NATIVIDADE";23,80;23,56;30,67;21,98;-;100,00
"330320 NILOPOLIS";6,90;11,67;36,51;44,91;0,01;100,00
"330330 NITEROI";5,70;8,21;23,18;62,85;0,06;100,00
"330340 NOVA FRIBURGO";12,42;19,41;36,04;32,10;0,03;100,00
"330350 NOVA IGUACU";12,78;15,73;38,50;32,96;0,03;100,00
"330360 PARACAMBI";21,10;16,11;35,86;26,89;0,04;100,00
"330370 PARAIBA DO SUL";13,69;17,84;36,34;32,13;-;100,00
"330380 PARATY";20,57;22,21;30,94;26,24;0,03;100,00
"330385 PATY DO ALFERES";27,72;22,99;29,51;19,78;-;100,00
"330390 PETROPOLIS";11,21;15,52;37,55;35,66;0,06;100,00
"330400 PIRAI";15,21;20,44;34,03;30,20;0,12;100,00
"330410 PORCIUNCULA";18,59;23,21;37,04;21,16;-;100,00
"330415 QUISSAMA";28,03;22,31;34,07;15,58;-;100,00
"330420 RESENDE";10,82;17,24;37,22;34,65;0,06;100,00
"330430 RIO BONITO";19,59;23,54;33,12;23,71;0,03;100,00
"330440 RIO CLARO";24,81;20,48;35,32;19,19;0,21;100,00
"330450 RIO DAS FLORES";24,11;19,63;35,16;21,10;-;100,00
"330455 RIO DE JANEIRO";6,84;9,24;29,15;54,72;0,05;100,00
"330460 SANTA MARIA MADALENA";24,73;28,41;29,98;16,88;-;100,00
"330470 SANTO ANTONIO DE PADUA";18,74;23,72;32,13;25,41;-;100,00
"330480 SAO FIDELIS";23,03;25,61;28,29;23,04;0,03;100,00
"330490 SAO GONCALO";9,09;14,98;37,00;38,89;0,04;100,00
"330500 SAO JOAO DA BARRA";29,77;27,63;27,58;15,02;-;100,00
"330510 SAO JOAO DE MERITI";9,09;14,39;40,34;36,13;0,05;100,00
"330515 SAO JOSE DO VALE DO RIO PRETO";25,84;23,46;34,53;16,04;0,12;100,00
"330520 SAO PEDRO DA ALDEIA";16,43;21,45;34,70;27,33;0,08;100,00
"330530 SAO SEBASTIAO DO ALTO";26,20;24,99;30,71;18,11;-;100,00
"330540 SAPUCAIA";22,83;19,63;33,09;24,44;-;100,00
"330550 SAQUAREMA";20,21;22,92;36,04;20,69;0,14;100,00
"330560 SILVA JARDIM";35,08;22,45;27,65;14,82;-;100,00
"330570 SUMIDOURO";30,53;33,35;25,57;10,55;-;100,00
"330580 TERESOPOLIS";17,41;20,16;35,61;26,78;0,05;100,00
"330590 TRAJANO DE MORAES";26,97;28,21;32,43;12,39;-;100,00
"330600 TRES RIOS";13,66;16,58;38,41;31,30;0,05;100,00
"330610 VALENCA";11,66;17,58;37,79;32,92;0,04;100,00
"330620 VASSOURAS";18,84;17,83;30,76;32,51;0,06;100,00
"330630 VOLTA REDONDA";7,93;12,93;37,04;42,07;0,03;100,00
"350010 ADAMANTINA";17,01;17,00;30,88;34,97;0,14;100,00
"350020 ADOLFO";22,11;19,62;37,16;21,11;-;100,00
"350030 AGUAI";13,96;25,27;37,36;23,35;0,06;100,00
"350040 AGUAS DA PRATA";10,84;21,79;38,95;28,42;-;100,00
"350050 AGUAS DE LINDOIA";15,61;17,73;41,29;25,37;-;100,00
"350055 AGUAS DE SANTA BARBARA";12,87;27,95;35,02;24,08;0,07;100,00
"350060 AGUAS DE SAO PEDRO";4,01;11,32;40,13;44,54;-;100,00
"350070 AGUDOS";14,87;20,20;38,47;26,25;0,21;100,00
"350080 ALFREDO MARCONDES";20,40;14,68;34,50;30,26;0,16;100,00
"350090 ALTAIR";21,24;15,61;36,11;27,04;-;100,00
"350100 ALTINOPOLIS";14,46;26,35;39,26;19,79;0,14;100,00
"350110 ALTO ALEGRE";19,43;21,00;40,11;19,46;-;100,00
"350120 ALVARES FLORENCE";19,83;18,82;39,58;21,77;-;100,00
"350130 ALVARES MACHADO";17,06;18,07;38,94;25,93;-;100,00
"350140 ALVARO DE CARVALHO";24,39;25,28;34,44;15,88;-;100,00
"350150 ALVINLANDIA";20,50;27,83;31,24;20,43;-;100,00
"350160 AMERICANA";9,04;15,40;39,68;35,63;0,26;100,00
"350170 AMERICO BRASILIENSE";13,37;21,21;44,53;20,89;-;100,00
"350180 AMERICO DE CAMPOS";19,66;22,48;34,88;22,98;-;100,00
"350190 AMPARO";11,60;18,01;40,09;30,29;-;100,00
"350200 ANALANDIA";7,26;32,08;36,62;24,04;-;100,00
"350210 ANDRADINA";16,31;16,00;35,90;31,77;0,02;100,00
"350220 ANGATUBA";15,14;28,27;41,06;15,54;-;100,00
"350230 ANHEMBI";15,54;25,72;41,01;17,72;-;100,00
"350240 ANHUMAS";21,49;17,32;37,08;24,12;-;100,00
"350250 APARECIDA";8,63;16,84;40,18;34,35;-;100,00
"350260 APARECIDA D'OESTE";27,48;19,01;36,06;17,45;-;100,00
"350270 APIAI";20,42;34,15;28,20;17,10;0,13;100,00
"350280 ARACATUBA";11,24;14,95;35,63;38,08;0,11;100,00
"350290 ARACOIABA DA SERRA";15,60;22,71;38,45;23,24;-;100,00
"350300 ARAMINA";13,13;24,84;40,16;21,88;-;100,00
"350310 ARANDU";22,91;29,09;34,69;13,31;-;100,00
"350320 ARARAQUARA";10,44;13,24;37,30;38,98;0,04;100,00
